Nama Pengulas,Ulasan,Rating
Nikolaus Andhika,"Hampir setiap minggu kesini entah abis pulang kerja atau pulang gereja, tapi belum pernah sekecewa ini. Service nya nilai 0 sekali apalagi staff nya yang berbaju putih sepertinya masih trainee ya itu dia berbohong. … Lainnya",1 bintang
Eva Rahmayuniar,"Tempatnya luas dan stok pastry bakery nya banyak jadi enak buat nemenin ngopi. stop kontaknya juga ada, kalo ga bisa ngecas krna penuh bisa nitip ke baristanya wkwk baristanya ramah dan selalu merekomendasikan menu yang cocok sesuai keinginan saya, thanks Lainnya",5 bintang
Nadia Asmarani,"Pesen semuanya normal tapi pas udah jadi cuman setengah kayak less ice yang beneran dikit banget es nya dan mas nya cuman diem aja tidak menjelaskan, kecuali saya tanya, jawabanya juga tidak memuaskan hanya bilang es nya habis tanpa konfirmasi terlebih dahulu. Lainnya",2 bintang
Fabian Lakoy,"Kamu lagi cari tempat nongkrong yang asyik di Mall Plaza Blok M? Kopi Kenangan adalah jawabannya, bro! Cafe ini punya suasana yang nyaman banget, dengan dekorasi yang minimalis dan modern. … Lainnya",5 bintang
Meisya Ayudita,Saya biasa ke sini kalo habis pulang kerja enak buat nyantai. Baristanya juga servicenya cepet dan membantu banget. Apalagi kalo rush hour nggak perlu capek ngantri karena saya tinggal duduk dan pesen by apps. Oke deh tempatnya. Lainnya,5 bintang
Juju Jumaroh,"Tempatnya cukup besar  berada di LG  sebrangnya guardian, sebelum marugame. Langsung keluatan saat turun eskalator. Kopi kenangan mantan 19k, ice americano Large 20an. Banyak sofa yg ada colokannya. Staffnya ramah  tapi kasir ya gitu hehehe. Bawa tumbler sendiri lebih enak. Lainnya",4 bintang
Winda GST,"Saat kesini cobain bundling drink and toast
Persennya Kopi Kenangan Mantan R dan Wahyu Toast
Mulai dari rasa kopi nya enak gg terlalu manis enak. … Lainnya",5 bintang
arniescza utomo,"Ga pernah sekecewa ini sm pelayanan KopKen. Semalam pesan kenangan mantan 1 cup. Kasirnya emang tanya mau gula seberapa dll, dan aku ngomong semua normal, kecuali gula. Dan ternyata kopi aku diberi cuman separuh dari cup. Udah minta es … Lainnya",1 bintang
Elle,"Pesen Earl Grey Tea di sini beda banget2 rasanya sama di Kemvil 😱 entah mana rasa yang bener tapi biasanya tuh enak walau less sugar.
Di sini beneran pahit, udah minta tambah gula (super jutek masnya) still not … Lainnya",4 bintang
Kimberlly Michelle,"Menurut pendapat saya kopi kenangan di tempat blok m plaza ini berdasarkan pengalaman saya pelayanan nya buruk dikarenakan ketika saya mau memesan sangat antri,dan ketika antri pelayan nya bilang ""mohon maaf kak silahkan pergi karena sudah … Lainnya",1 bintang
Fajar Setiawan,"Hr ini sy kecewa dg pelayananya, hanya krn sy cm pesan fresh lemonade sy hrs tgg begitu lama pdh pesanan sy sdh sls dan sy liat dibiarkan begitu saja di mesin wraping dan pelayan bilang blm sls. Apakah ada minimum order utk mendapatkan pelayanan yg baik ? Lainnya",3 bintang
andar,ini kali kedua beli thai tea disini…awal beli memang dijelaskan tunggu 20mnt oke tidak jd masalah dan tepat 20mnt minuman jadi lalu pembelian kedua minuman jadi sekitar 40-45mnt…apa memang sop nya utk minumam thai tea tidak di prep dahulu?atau memang dibikinnya dadakan kalau ada yg beli saja? Lainnya,2 bintang
gita,"PELAYAN 2 CEWE bad attitude & bad service bgt. kok masih di pekerja kan. pecat, bikin bangkrut dan jelek nama toko aja. liat review yg lain nya tuh banyak yg komplen dengan permasalahan yg sama. Lainnya",1 bintang
Fransisca Purba,"Pegawai nya banyak tapi jutek semua, nunggu lama banget, pas disamperin pesenan udh jadi tapi gak dipanggil, katanya udh dipanggil tapi pegawai nya bohong soalnya saya bener - bener merhatiin, dan dia gak ada panggilan sama sekali. Lainnya",1 bintang
Abdul Rahman,"Dua kali mampir kesini, selalu tidak pernah tersedia tisu. Padahal menjual makanan+minuman dan bisa makan di tempat. Saya tanya ke staffnya dijawab tisu habis, masih siang padahal jam 12.00 wib masa iya tisu aja sampai tidak disediakan. … Lainnya",3 bintang
Hendrik Naghata,"Kopi Kenangan Mantan (6/10)
Raspberry Hibiscus (6.5/10)
Cromboloni (3/10) ~ sudah dingin dan keras, tidak layak dikonsumsi lagi. Lainnya",3 bintang
toko meo,"bad bgt pelayanannya, udah antri dpn kasir di tolak katanya close
galama sy pergi cust lain di terima terus malah judes staffnya wkwkwk payah pelayannya … Lainnya",1 bintang
Alinichelsiani Alini,"Ini sih must go to caffe di Blok M yaa. Semua orang juga tau rasanya enak nyaman, homey dan barista nya ramah bgt Lainnya",5 bintang
Dewi Lestari,"Tempatnya luas, baru liat tempat kopi kenangan didalam mall tapi bagus estetik. Biasanya ya biasa aja tempatnya kalau di mall. Lainnya",5 bintang
Muchammad Rizky,"rame banget, mungkin bisa ditambah 1 mesin kasirnya biar lebih cepet ngantrinya. pelayananya oke dan rasa kopinya balance Lainnya",5 bintang
Octavino Sunny,"BAD pelayanan sih kopken yg disini, kecewa banget, lelet banget, udh confirm PESANAN saya pesan lewat aplikasi pas mau ambil di oper2 ke bagian pick up, trs suruh balik lagi ke kasir, pas di kasir bilang pesanan belum masuk, tolong diperbaiki ketelitian nya dan please ramah ke costumer Lainnya",1 bintang
Elisabet Sinaga,"Tempatnya gampang di jangkau dari mrt blok M, tempat duduk lumayan banyak dan staffnya ramah
Jenis pe…
Lainnya",5 bintang
Elisa Pramesti,"Kopi Kenangan jadi pindah di Lantai Bawah, suasananya jadi makin enak dan nyaman karena spacenyaa juga besar. Pelayannya juga ramah. Kopi kesukaanku ada Creamy Aren Latte Lainnya",5 bintang
Ras Aljan,"Kalo yang mau ngopi nyantai enak ke sini aja deh, mana rute transumnya juga mudah. Akses ke mana mana deket semua. Lainnya",5 bintang
Nur Halimatus Sa'diah (Diah),"Aku suka banget ngopi di sini sm pacarku. Suasananya homey dan ramah tamah banget jadi nyaman.
Jenis …
Lainnya",5 bintang
Maria Rini,"Setiap ke blok m, pasti selalu beli kopinya. Rasanya konsisten dan pelayanan cepat. Tapi tempatnya selalu full untuk duduk. Lainnya",5 bintang
Agus Augustin,"Americano hot, yang datang warm. Sangat light....kebanyakan air gak berasa kopinya. Sorry bintang 2 aja tuk tempat karena ada didalam mall",2 bintang
Amalia Tri Wahyuni,Oatside matcha latte favorit banget. Outletnya pindah ke lantai paling bawah dan lebih nyaman buat nongkrong.,5 bintang
Sasya Puspita,"hari sabtu anak sy menumpahkan minuman, barista nya yg putih tinggi sngt cepat inisiatif keren dan baik lngng mengnti minuman yg baru untuk anak sy, pdhl itu ksalaahn anak sy, terimaaksih kopken sudah mnyediakan pelayanan terbaik👍🏻 … Lainnya",5 bintang
