Nama Pengulas,Ulasan,Rating
Putu Peggy,"Tempat favorit buat istirahat kalo udah capek keliling mall. Selalu ada promo, apalagi kalo pake apps. Tempatnya nyaman, banyak colokan dan wifi kenceng. Letaknya juga strategis, pas baru masuk lobby. Jadi gampang dicari. Lainnya",5 bintang
Aisyah,21/12/25 sukak banget ngopii di sini. Baristanya ramah² bangettt pake banget terutama A/n Rafli dan mba mbanya yang training agak gemuk best banget pelayanannya Sukakkk 🥳 … Lainnya,5 bintang
Hengky Kristanto,Tempat nya sangat nyaman untuk duduk duduk kumpul. Tapi tempat nya selalu penuh ya guys Kalau weekend dan antiran kopi nya juga cukup panjang. … Lainnya,5 bintang
Ciwi Paino,"Jarang nemu outlet Kopi Kenangan yang ada tempat duduknya...
Outlet ini nyaman dan dan ramai di akhir pekan...
Menunya seperti biasa, berbagai macam racikan kopi dan teh.
Sedangkan makanan hanya sejumlah roti saja... Lainnya",5 bintang
Jolin Gifts,"Lokasi outlet berada di lantai dasar pas samping lobby. Banyak tempat duduk namun meja nya cukup kecil dan jarak antar tempat duduk sangat berdekatan, jadi kalau lagi padat pengunjung jadi kurang nyaman. Pilihan menu minuman cukup banyak, rasa cukup enak, harga standard dengan merk lain nya Lainnya",4 bintang
Fauzia Oktriana,"Padahal jelas paket hemat qpon, opsi makanan antara croissant buter atau donat.diluar itu akan dikenakan tambahan biaya. Tapi pada saat saya pilih donat, dibilangnya ada biaya tambahan. Lah jelas2 diaplikasi dan konfirmasi via wa nya bilang … Lainnya",3 bintang
rizki rachmadan,"Kopi kenangan rasanya enak, standart disemua kedai apalagi tambah shoot lagi. Tapi kalau sudah rame untuk nyai-nyai jadi kurang nyaman. Lainnya",4 bintang
Selly Aprilia,"saya kesana tamggal 6 januari 2026 jam 7 malam, maaf kakak yang pake kacamata judes bangett ga ramahhhh, kalo punya maslaah pribadi jangan dibawa ke kerjaan yaa kaa sehat2 buat kk nya terimaksih🙏🏻 …",1 bintang
Fannie Huang,Kali ini saya berkesempatan mencoba semua varians cookies dari Kenangan Manis dalam rangka pembukaan outlet ke-100. … Lainnya,5 bintang
SO,"Kopi Kenangan Neo Soho ini lebih ramai daripada di mall tetangganya, mungkin karena ada tempat duduk juga, cukup nyaman. Kalau lagi ramai, agak ngantri, jadi saya prefer pesan di app yang bisa langsung pick up tanpa ngantri. Lainnya",4 bintang
Radja Sitanggang,"Berada di Ground Floor Pusat Perbelanjaan Neo Soho, Mudah ditemukan, dekat dari pintu masuk. Saya selalu mencoba kopi hits nya , kopi kenangan mantan. Rasanya tetap  enak dan di semua outlet rasanya standard. Harganya lumayan terjangkau, … Lainnya",5 bintang
Angel,"minggu 05-10-25 beli kkm yg katanya best seller nya kopken , di note udah di tulis minta tolong buatin yg enakk (karna kemarin juga habis beli tapi ga enakkk) tapi hasilnya zonkk banget!!!!!! lebih parah dr kemarin, ini aren nya sama sekali … Lainnya",1 bintang
sha,"atmospherenya sangat cocok untuk orang-orang yang ingin mengerjakan tugas/kerjaan. kakak staffnya terutama kak ben & kak rika sangat baik dan asik. pelayanannya cepat sekali baru bayar langsung jadi hehe. kopken cp 2 ini memang besttttt, pertahankan ya. Lainnya",5 bintang
Daffa Adhika Widi Wardhana,"Kopinya enak, tapi rasa rotiny zonk kalau rasa rotiny seenak kompetitor mungkin bisa jadi saya jadi pelanggan tetap kopken Lainnya",4 bintang
Setiawaty Lukman,"Saya baru pertama kali ke Kopi Kenangan Neo Soho. Lokasi nya mudah dijangkau, dekat dengan pintu masuk, di seberang Uniqlo. Staff nya ramah, sayang pelayanan agak lama, padahal tidak terlihat antrian yang panjang. Lainnya",4 bintang
Fanny Owela,Kopi kenangannya rame banget! Waktu visit ini (hari minggu siang) pas banget petugasnya cuma ada 2 dan antriannya lumayan panjang. Jadi nunggu agak lama pas mau pickup pesanan yg selesai (udah order pake apps kopken biar ga nambah antri mau ordernya). Lainnya,5 bintang
Kefin Then,"Worst Kopi Kenangan store. Saya pesan kopi via Aplikasi (scr Online). Sistem pelayanan nya sangat tidak teratur.  Di outlet lain, konfirmasi pesanan dilakukan secara online tanpa perlu antri lagi di kasir. … Lainnya",2 bintang
