Nama Pengulas,Ulasan,Rating
Adam Rivaldo Hadi Pasha,"Pelayanan sangat memuaskan, bintang 5, tempat nya enak, nyaman & asik.. top mantap is the bestt
Tarif…
Lainnya",5 bintang
casa,"kopinya enak, harganya juga masih reasonable. friendly staff and great service too. bakal jadi regular spot sih kalau lagi pengen me-time 😉⭐️ … Lainnya",5 bintang
Rena Erfiyana,"kopi kenangan selalu yang terbaik👍💯 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Herdyansyah,"Tempatnya PW banget
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Sefira Aulia,"Service nya kurang, barista kurang ramah, tidak standby di bar, saya datang pagi tp barista malah keluar2. Dtanya tissue malah jawab ga ada, masa sekelas kopi kenangan ga stock tissue? Bad service. Lainnya",1 bintang
bambang prihatmoko,"Pelayanan tidak ramah, tidak standart kopi kenangan cabang lain, kopi kenangan mantannya juga tidak enak padahal sudah request normal berbeda dengan cabang lain yang di seputaran Ciledug, tolong di Review SDM semua yang ada cabang sini.. Lainnya",1 bintang
Hana khairunisa,"Ada satu mas2 yg krg ramaah..tolong yaa walaupun rame ttp ramah min jangan diem aja kl diajak ngmg ..
Saya seminggu bs 5 x ke kopken kebetulan bukan yg di Cokroaminoto dan br pertama dtg ke Cokroaminoto syg bgt dpt pengalaman ga ngenakin.. Lainnya",4 bintang
Gilang Adi Putra,"nyaman disinii untuk kerja dan nongki bareng temen
Makanan: 5…
Lainnya",5 bintang
Muhammad Yusuf,Pas istri gua ke sini digodain samaa tukang parkir nya dan mulut nya bau alkohol udah gitu minta parkiran mobil nya minta  20k tolong dong pihak manajemen di tegur atau di proses jangan sampe yang kedua kalinya kaya begitu Lainnya,1 bintang
Nayaka Abel,"satu hal yang saya suka dari outlet ini baristanya ramah ramah, terutama staff yang kalo ga salah namanya eva Lainnya",5 bintang
Septian Gusnian,"tempat nya nyaman, ac nya dingin,  serving time nya sangat cepat, dan mas roffi ganteng ❤️
Makanan:…
Lainnya",5 bintang
Lita,"Beli kopi menggunakan Qpon, tapi tidak ditanyakan nama. Di cup bagian nama tertulis “qpon” dan saat pesanan selesai, dipanggil “qpon”.
Biasanya di outlet lain tetap ditanyakan nama pelanggan walaupun pakai Qpon. … Lainnya",1 bintang
Zan Trayana,"Payah nih blm masuk promo promo seperti kopi kenangan lainnya. I mean QPON dll.
Makanan: 4…
Lainnya",2 bintang
Sherina Melvia,Sangat nyaman dan bersih recomenddd staff  jg sangat friendly,5 bintang
leehan blubup blubup,"OH INI TUH TEMPAT YANG VIRAL DI TIKTOK ITU. COZY AS EXPECTED 🥹 …
Makanan: 5…
Lainnya",5 bintang
Renaldy Dwi Muharram,"Getting bigger & better concept from other store of Kopi Kenangan. Keren..
Tarif per orang…
Lainnya",5 bintang
Farras Thufail Isya Muaz,"Terlalu ramai, overload, jadi ga tenang",2 bintang
Ghifari Akbar,sumpah ya sumpah sumpah banget tempat terpw seciledug,5 bintang
Muhammad Hafidz,COZYYY BNGTT TEMPATNYAAA,5 bintang
Farel Syahputra,"Nyaman
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang
Muthia Anggun Wijayani,"Tempatnya bagus, comfy. Pelayanannya bagus jugaa kok, ramah, cepet juga. I love that barista ciwi yang bondol, she's so friendly & gorgeous. i love her smileee😁😁😁 … Lainnya",5 bintang
Erni Ariyasanti,"Tempat nyaman, enak dan betah buat wfc, dekat rumah
Makanan: 5…
Lainnya",5 bintang
Danny 116,"Baristanya keren dan ganteng ganteng, aku suka :D",5 bintang
