Nama Pengulas,Ulasan,Rating
Ciwi Paino,"Tempatnya sederhana, tidak terdapat colokan, tapi karyawannya baik hati mau pinjamkan kabel extention.
Terdapat wifi... … Lainnya",5 bintang
maya maharani,"AC panas sudah berminggu minggu tidak ada perbaikan padahal sudah langganan yang hampir setiap hari beli..
panas, sumpek jadi mikir berkali"" buat mampir beli. hanya sekedar perbaikan ac saja berlarut"" 🫩🫩 … Lainnya",1 bintang
Hyacintha Dian Tatiwi,"Cobain cerita roti yang varian coklat klasik dan keju manis. Harga cukup terjangkau ya mulai 9k, dan rasanya enak, lembut, isiannya pas sesuai sama slogan iklannya 'roti selembut awan'.",5 bintang
KS,Kesini pas PPKM 2021 jd semua meja dan kursi dipinggirin spy tidak ada yg dine-in. Service relatif cepat (biasanya tergantung orderan queue di tempat dan online ya) dan staffnya pun ramah. Lokasi persis di gedung yg sama dgn Superindo … Lainnya,4 bintang
Theodorus Tjatradiningrat,"Kedainya kecil, nempel dengan Superindo,  tapi adem ber-AC. Stafnya cukup ramah dan murah senyum. Tersedia dua meja dan empat kursi yg bersilangan (era pandemi) yg dibatasi partisi seperti kaca. … Lainnya",5 bintang
Ray,"Kakak yang ngelayaninnya is so sweet, she made my day. Terimakasih teteh yang aku tidak tau namanya siapa itu ^^ Lainnya",5 bintang
Allin Ayu,"Suka nongki di sini, minusnya AC terlalu dingin dan ruangannya terlalu kecil
Jenis pesanan…
Lainnya",5 bintang
Orchidea K,Tempatnya kecil cuma ada 2 seating grup. Better pesen pickup di aplikasi drpd dine in. Kursinya agak kotor krn bahannya anyam gitu yaaa mungkin bs ditingkatkan lagi. Overall mantep kopken gercep dan enak sperti biasanya. Lainnya,5 bintang
ika sari,"Staffnya krg fokus, ngobrol sambil melayani,,, bbrp kali pesan dtg langsung dan lwt ojek online selalu krg benar orderannya...sayang lho klo tmptnya bagus tp service staffnya krg Lainnya",3 bintang
Nadia Ivanushka,"Udh pesen ke baristanya bahwa kopi saya rada manis.
Tapi ga ada manisnya acaan.
Heran -_- org klo dikasih taau tuh di noted bukan iya iya ajaa Lainnya",3 bintang
ika sari,"Saya order kopi kenangan mantan less sweet, no ice sdh berkali kali bilangnya less sweet...tp yg diterima no ice aja, pdhl sepi lhoo",3 bintang
Didy _22,Sempit tp nyaman,5 bintang
Bambang Lakashumtu,"Ada promo yg berlaku untuk pembelian langsung dan via aplikasi, namun setelah datang promo hanya bisa digunakan melalui aplikasi, pelayanan tidak profesional dan tidak mengerti antre.",1 bintang
Rio Ravelino,Enak sh kopinya cm nggabisa sebat doang,2 bintang
firman suryadi baskoro,"Banyak pilihan menu dan kopi nya enak, saat itu cukup ramai meski tempat nya tidak terlalu besar .",4 bintang
ODONG ODONG,"Makasih banyak yah untuk promo promonya makasih juga udah dapet freenya khusus ojol,.#suksesselalu",5 bintang
Eddy Cheon68,"Kurang cepat aja
Jenis pesanan
Bawa pulang…
Lainnya",3 bintang
Ananda Aditya,"Pelayanan sangat buruk, antrian tidak beratur dan staf tidak profesionall",1 bintang
alvin rifqy,pelayanan staff sangat buruk. antriannya gajelas,1 bintang
dadang korfball,Tempat nya mudah terlihat dan asik buat ngopi,5 bintang
Ernika Maulida,Nyaman sebelahnya superindo.,5 bintang
IDRIS TANJUNG,"Sruputttt se sruputttt biar mlek
Jenis pesanan
Bawa pulang…
Lainnya",4 bintang
Dody Ruspandi,Restonya asik&nyaman,5 bintang
Hey July,"enak
Makanan: 5
Suasana: 5",5 bintang
Risq Ganteng,Ada kenangan di sini bersamanya,3 bintang
Asih Sukaesih,"mantulll pelayanannya,,,
thanks ya",5 bintang
Joko Setyasto,"TOP pembuatannya cepat,",5 bintang
Hari Ono,Mantap,5 bintang
rajab mhmmd,"Pelayanan ramah, kopi terbaik se indonesia",5 bintang
Hario Bradhitya,"Harap berhati-hati jika memesan di atas jam 8 malam via ojol. Pesanan sering tidak sesuai meskipun kantong masih tersegel cable ties, jadi bukan salah ojolnya. … Lainnya",3 bintang
Elvira Sari Lestari,"Pelayanan cepat, kakak2nya ramah 😘 …
Makanan: 5…
Lainnya",5 bintang
Monica Indra Sophia,"Place to go, setiap belanja ke superindo kalau bosen point ekwk 😂
Kadang kasian sama baristanya incharge sendiri, make sense sih karena cabang ini emang kurang ramai. Semoga ga tutupp, semangat kak! … Lainnya",5 bintang
Daniel Budiarto,"Kopinya enak, mbanya ramah banget. Harusnya semua Kopi Kenangan kaya gini 👍🏻 …
Makanan: 5…
Lainnya",5 bintang
retno aprilianti,"Tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang
