Nama Pengulas,Ulasan,Rating
Kenzo,"tempatnya cozyy dan nyaman apalagi kalau pagi masih sepi, dilayanin barista ka angel ramahh dan cepett pelayanannya Lainnya",5 bintang
Latifah,"Untuk tempatnya oke lah enak besar nyaman, tapi pelayanan nya kurang bgt apalagi kaka kaka yg ga pake kerudung judes dan jutek bgt gak ada senyum nya di tanya. Dan untuk makanan nya kacau ini pesen dirty croissant milo ya Allah ini bner” keras dan susah bgt di makan kaya dri kulkas bad bgt dah tolong perbaiki lgi dong Lainnya",2 bintang
Nabila Anisa azahra,"Good serv of from barista in the morn, cozy place dan luas banget ternyata untuk tempat nya
beside 24 hours 👍🏻 five star for place n service thankyou ⭐💯 … Lainnya",5 bintang
Afdhol Basil,"Bangunan baru, jadi masih sangat bersih dan rapi. Pengalaman disini masih oke seperti kopi kenangan lain nya. Perihal kurang orang sepertinya saya setuju. Saya saranin buat pesen lewat aplikasi aja sih nanti tinggal pickup aja. … Lainnya",5 bintang
Spamaditya CK,"Pelayanannya satset walaupun rame. Tempatnya cozy dan banyak tempat duduk, nice. … Lainnya",5 bintang
Moona Maddu,"Tempatnya nyaman banget smoking Areanya luas, Toilet bersih, Ruang AC nya juga bagus cocok buat kerja WFH dan meeting, Parkir luas, Kesini pas tahun Baru 2026 suasa baru 😊, Harganya terjangkau, gebrakan baru kopi kenangan … Lainnya",5 bintang
Putri Yulia Ekaningtias,"Pelayanan oke, barista dan kasir ramah, tempatnya nyaman masih belum rame juga😁👍 …
Jenis pesanan…
Lainnya",5 bintang
Aditya Rizal,"Tempatnya bersih nyaman, pelayanan nya baik dan ramah, cocok bnget buat me time & chill, makanan dan minumnya fresh enak Lainnya",5 bintang
Zaskia Vanya,"tempatnya nyaman dan luas banget, tempat ter pw dan asik kalo buat nugas, minuman nya juga enak dan gercep juga, pelayanan nya juga ramah, baik banget, murah senyum apalagi waktu dilayanin mas"" yang punya lesung pipi yang pake kemeja putih seru banget orangnya Lainnya",5 bintang
Arif Permana,Mantap pelayanannya gesit banget.apa lagi pas di buatin sm mas daen the best kopi kenangan terenak yang pernah sy cobain.walaupun sedang ramai tidak memakai kopi yang di sper selalu memakai kopi yang freshhh 🫶🫶 … Lainnya,5 bintang
Irwan wannn.22,"Tempat bersih, enak jadi tempat pilihan buat ngumpul ama keluarga atau temen 🫶 …
Makanan: 5…
Lainnya",5 bintang
Nabil Fadillah,"tempat indoor nya luas dan ada juga mushola , outdoor nya pun luas dan nyaman ditambah menu pahe 1 top markotopp👍🏻 … Lainnya",5 bintang
Mike Anggreyanti,"saya kira meja saya aja yg kotor banyak pasir, ternyata meja depan samping saya jugaa, apa mungkin ga disapu?? pelayanan masih kureng mungkin masih kagok ya karna baru buka, pesenan ga urutan, salah input, lama dan masih banyak salah … Lainnya",3 bintang
nihlah nurhaliza,"tempatnya nyaman banget, tempat ter pw kalo buat nugas, minuman nya juga enak sama kayak kopken pada umumnya.
pelayanan nya juga ramah, baik banget, murah senyum jugaa Lainnya",5 bintang
Muhammad Fadhlan,"baru opening di daerah pos pongumben jakbar, tempatnya lumayan luas, ada indoor, outdoor, dan smoking indoor. Lainnya",5 bintang
Rafif Alton,"Nyaman sih tempatnya, pelayanan okeee, harga terjangkau.
Jenis pesanan
M…
Lainnya",5 bintang
Figa Ayu,"Suasana kafenya cozy, cocok buat kerja, nongkrong, atau sekedar ngobrol. Pelayanan mereka juga oke, dengan opsi dine-in dan take away. Plus, mereka punya aplikasi sendiri buat order dan dapetin promo eksklusif👌 … Lainnya",5 bintang
DS_,"Enak, tp kyknya kurang pegawai. Lama banget buat mesan doang. Lama berdiri di depan kasir tp ga dilayani, malah sibuk bikin orderan. Better tambahin pegawai yg standby Lainnya",2 bintang
nabilaa aulia,"rasa kopi nya enak seperti kopken pada biasanya, tempatnya juga luas & nyaman , di tambah barista'nya asik2 terutama mas yang pake kacamata HAHAHA Lainnya",5 bintang
