Nama Pengulas,Ulasan,Rating
Elfina Okta fiola,"Beberapa kali pesen butterscotch kenangan frappe size large, selalu hambar. Di kasih gula tambahan juga jadi ga enak kaya minum air gula. Beda bgt sama di outlet lain. Ini es batu nya banyak bgt. Perbandingan beli disini baru aku minum … Lainnya",1 bintang
dinda septiawan,"ngopi di sini udah jadi langganan lebih dari setahun cuma di pagi hari ini pesan americano rasanya agak tawar ya, kopi nya agak tawar
Komplain dengan mas2 baristanya bagus cepat tanggap dan langsung di ganti, malah … Lainnya",4 bintang
Dinda Remayang Putri,"Selalu bermasalah bagian struk
Entah struk ga kecetak tapi ga bisa di print ulang
Udah yang ke 3 kalinya kejadiannya … Lainnya",1 bintang
Taufiq Shaleh,"Service lama, dan masa area order dan pick up jadi satu?? Tidak effective jdnya malah antri panjang. Hrsnya drive thru lebih cepet malah bikin macet. … Lainnya",1 bintang
Bhatari Setionaita,pesan dengan tiktok voucher ternyata barangnya tidak available dan kasirnya sudah duluan redeem voc saya tanpa memberitahukan terlebih dahulu. penyelesaiannya musti redeem di toko lain tidak bisa direfund kecuali ganti menu. … Lainnya,2 bintang
bmuliyadi,"tempat yg menarik, terdiri dari 2 lantai tampaknya.
dibawah mungkin tersedia 5 meja, plus 2-3 kursi.
suasana cukup tenang. … Lainnya",4 bintang
renny puspita,"menu baru sandwich enak lho patut dicoba
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
SIFA FAUZIAH,"Security disini lebih punya ettitude dr pada staffnya.!! Hampir tiap hari saya kesini krn nunggu temen. Saya beli ya, bukan hanya numpang duduk. Bosen sama saya krn tiap hari order??? Klo capek, mending dirumah aja. … Lainnya",1 bintang
Muhammad Mufti Muflihun,Mampir untuk kerja singkat tapi wifi bermasalah sehingga tidak dapat digunakan. Toilet pun sedang rusak sehingga harus cari toilet lain. Kualitas makanan dan minuman masih terjaga. Lainnya,2 bintang
Khanza,"Kedai Kopken yang konsepnya Drivethru. Order via mesin touchscreen , atau bisa lewat aplikasi utk dapetin promo. … Lainnya",5 bintang
Nandiati Putri,"Parkirannya cukup luas, bisa drive thru, lumayan lengkap menunya ada semua, ada indoor dan outdoor, cukup nyaman buat nongkrong gabut, croissantnya enak lembut, es krim matchanya kurang berasa matcha lebih dominan kaya susu. … Lainnya",5 bintang
sassa andriani,"Biasa beli bambang toast disini isiannya banyak. Hari ini baru bgt beli 4, semuanya gak ada cheesenya. Namanya aja bbang choco cheese kalo gak ada cheesenya yaa gak usah di jual lah. Males bgt balik lg mana udah di toll. Kapok dah Lainnya",1 bintang
Agung Febryanto,"kembaliin kang parkir yang lama, yang babeh pake rx king, dia lebih bagus pelayanannya, parkiran lebih rapih dan tertata, KALO YG SKARANG PELAYANANNYA KURANG, saya abis liat orang ga bayar parkir dia marah, sedangkan yg dulu ga di kasih dia ttp senyum. dan emang kan seharusnya ga ada kewajiban buat ngasih gasih :) Lainnya",1 bintang
Intan Fatya,"So good ,pelayanan nya oke banget kasir nya ramah trus menerapkan 5s banget suka deh sama pelayanan yg ga mandang bulu bgini 🫶🏻 …",5 bintang
cetya balasbudi,Outlet ini keren banget! Karena outlet drive thru pertama di jabodetabek trs pake energi dr solar panel SUNterra. Outlet ramah lingkungan 👍 Ada 2 lantai. Bisa nongkrong di lt. 1 dan 2. …,5 bintang
ishaktongtong,Buat nongkrong santay boleh lah tapi gak ada AC jadi lama-lama anget tuh badan sama kaya kopinya. Parkiran selalu ada sih ga terlalu ramai tapi kalau mau drive thru doank bisa kok. Kopi dan roti rasanya ok dengan harga terjangkau. Lainnya,4 bintang
Ahmad Nizar,"Pelayanan nya lamaa order via mesin, nunggu lebih dari set jam pas ditanya ternyata malah belum dibuat kedahuluan sama yg baru order agak kesel tapi yaudalah Lainnya",1 bintang
SHOPY NADIA,"Untuk butterscotch sea salt latte kopi kenangan harap belajar dari point coffee by Indomaret. Harga sama tp point coffee jauh lebih eenaaakk..
butterscotch sea salt latte kopi kenangan tidak terasa apa2. Jauh sekali rasa dan namanya. Not recommended. Lainnya",1 bintang
Ferdi Silva,Saya mau redeem menggunakan qpon untuk 2 kopi kenangan mantan. Tidak bisa di redeem dengan alasan fresh milk mereka habis.,1 bintang
Biondi Abiyoga Harsono,Kopi kenangan di sini pelayanannya kurang di segi fasilitas. Sering datang kesini internetnya suka bermasalah. Penangannya kurang cepat. Lainnya,2 bintang
Wandy Boen,Rasa kopi kenangan mantan oatside jawara beans nya kurang harum dan berasa dari cabang lainnya...hambar...buatnya asal asal mungkin kesini jam 23.....menang 24jam aja,3 bintang
Mega Arsita,"Di luar expetasi promosi nya dpt roti
Katanya Abis
KLO Mao dpt roti nya masa iya nunggu besok makan roti … Lainnya",1 bintang
Kelvin Indrian,Gk sesuai harapan mesen kopi+roti dikasihnya cuman minumannya doang pdhl udh ada di keterangannya kopi sama roti knp yg dikasih kopinya doang kecewa banget sih mungkin rotinya buat di bawa pulang kali ya jdinya beli rotinya di toko sebelah deh wkwk Lainnya,1 bintang
Anisah Rohayati,"kopi nya enak, tempat strategis dan enak buat ngopi bareng temen. ada tempat outdor maupun indoor.. bisa drive thru Lainnya",5 bintang
Muhammad Rifaldy,"Paling mohon untuk kebersihan toilet nya aja si, soalnya banyak sekali nyamuknya, toiletnya bersih, tapi ga tau kenapa nyamuknya parah banget Lainnya",4 bintang
Lia,"Mantul sih kopken, mau yg coffee atau non coffee rasanya nagih, yg di veteran sini bisa drive thru n ada tempat duduknya+bisa nongki gituu, di tangsel banyak bangetttttt cabangnya, cool 😍 … Lainnya",5 bintang
Helsa M,unik sih tmptnya. available indoor&outdoor. kopinya juga sesuai pesanan request (ttp pertahankan pelayanan dgn baik ya). bathroom available juga kok. untuk free wifi gaada yah.. … Lainnya,5 bintang
fara boreg,"Kl niat mo bener² nikmatin kopinya kenangan jgn disini. Kl cm mo nongki, gabut, n nyari yg 24 jam gpp kesini aja wkwkwk. Karena berkali² kesini es kopken mantan aja ga pernah enak loh bikinnya ga berasa kyk kebanyakan air or es. Intinya … Lainnya",3 bintang
Aulia Salsabilla Rasyid,"tempat nya pw banget, ada indoor & outdoor.
Jenis pesanan
Makan di tempa…
Lainnya",5 bintang
WAHYU SATRIO,"wifi benerin dong, udah seminggu ""mendapatkan alamat ip"" terus",1 bintang
Indah Pratiwi,"sebelum kesini, udah liat reviewnya kurang bagus. nyatanya, iya aja. hehe. pegawai terbilang judes, minuman rasanya kebanyakan air lah, kemanisan lah padahal udah order less sugar. paling beda banget dari outlet2 lainnya sejauh nyobain kopken 😅 … Lainnya",3 bintang
Kayla Aurelia,"cocok buat nongkrong si guys. jgn lupa mampir ya✨
Jenis pesanan
Pesan an…
Lainnya",5 bintang
Citra Aini,"Lumayan ga perlu turun mobil kalo lg pengen ngopi
Jenis pesanan
Bawa pul…
Lainnya",4 bintang
ARIA PRATAMA,"Kalau mau pesan, mendingan pakai aplikasi biar daoat potongan harga. Kalau buat nongki-nongki menurut aku gak cocok yaa kalau ramai. Namun kalau 2 sampai 4 orang okelah. Toiletnya bersih, makanannya enak. Buat anak sekolah, lumayan ramah … Lainnya",5 bintang
Daps Gans,"tempatnya cozy buat nugas dan nongkrong, pelayanan cepat sama tukang parkir nya baik banget, kopken ter the best sejauh ini Lainnya",5 bintang
Sindhu Achedya,"Kesini selalu drive thru, karena parkir mobil cuma cukup untuk 2 mobil, tapi saya selalu suka dengan kopi kenangan mantannya apalagi kalau pakai susu oatside Lainnya",5 bintang
Rifki Raniyya,"Udah mulai bagus sekarang sopnya, semoga makin jaya, dan inovatif banget ada drive thrunya
Makanan:…
Lainnya",5 bintang
Sheila Sbrina,Tidak memuaskan padahal 24 jam perkara sudah di cleaning area atas tidak bisa di tempatin gmna si pelayanan nya tolong di tingkatkan lagi Lainnya,1 bintang
Yasmine Michelle,"Kopinya mah gak usah dipertanyakan yaa.. Atmospherenya jugaa.. Spot fav gw diatas, indoor. Dingiinn.. Kalo hari bisa dibawah jam 5, sepi. Gw personally kerja disini.. Tapi servicenya aja nih agak kureng.. Lama bgt, pesen pake aplikasi … Lainnya",4 bintang
Izmir Putra,"Nyaman, simple dan enak buat nongkrong....
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Eva Liana,"suka banget ngopi di sini,
Makanan: 5…
Lainnya",5 bintang
Annisa Pricyila,"DRIVE THRU LAMAA BANGET PELAYANANNYA!! Parahh banget
Layanan: 1",1 bintang
penikamat cemara,"mantap ada drive thru nya lagi
Makanan: 5…
Lainnya",5 bintang
Syarifa Hanif,"Jangan beli drive thru disini pagi2 guys. Lama banget pelayanannya 15 menit. Kalau rame  tambah orang harusnya jadi ga antri panjang. Kasian juga stafnya yang dine in rame, drive thru rame, staf nya cuma 2 Lainnya",1 bintang
adinda elisa,"Beli disini selalu ga enak kopinya anta
Makanan: 1…
Lainnya",1 bintang
Fiqie Anbiya,"Lumayan buat tempat singgah baru, ada colokan kalo mau sambil kerja atau meeting point. Ada outdoor dan indoor yg minimalis, sayangnya ruang indor tidak ada peredam suara.. Jadi 1 saja ada org suaranya kencang lumayan mengganggu dan yg lain akan saling meninggikan volumenya 😅, tapi di outdoor sih asik aja salama tidak terlalu panas …",5 bintang
Gilang Rio Saputra,"Tolong lah lain kali di crosscheck lagi pesanan customer,masa iya org beli kenangan mantan tapi ga di pakein gula aren nya.
Udah 2x aja kejadian begini. Lainnya",2 bintang
Rachmat Zulfikri,"Merupakan salah satu lokasi Kopi Kenangan di Jln Veteran. Memiliki tempat parkir untuk kendaraan roda empat dan roda dua. Memiliki menu minuman dan roti yang bervariasi, memberikan layanan yang baik, serta suasana yang nyaman untuk bekerja … Lainnya",5 bintang
Muchlis ucis,"Tempat ngopi 24 jam,,,
Makanan: 3
Layanan:…
Lainnya",4 bintang
Tamara 29,Kedai kopi kekinian yg lg happening.cukup membantu ada layanan drive thru kaya gini.mo dine in jg nyaman tempatnya.utk kopinya sendiri standart lah sama kaya kopi2 lain.tambahan ada roti2 jg.pelayanan cepat ramah dan helfull. Lainnya,5 bintang
dokter yandera,"Sering kesini dan sebelumnya ga ada kendala. Barusan beli es kopi kenangan mantan reguler smua normal, tapi ga ada rasa kopi dan gulanyaa. Esudah cair. padahal langsung minum. Kayaudah dbuat lama terus disimpen dlu sampe es udah cair dan menghilangkan rasa manis dan kopinyaaa.. Lainnya",3 bintang
DSS Wita,"Buruk, berantakan,saya tidak lihat SOP kerja disini,bisa diputar cctv-nya,saya kira customer lain juga bt kalo disuruh nunggu 30 menit lebih,baru kali ini crewnya gak kompak,gak ada konfirmasi sama sekali, cenderung cuek, untuk hari ini jam 2-an lewat,buruk. Lainnya",1 bintang
Najwa Putri Chairunnisa,"sempat salah kirim pesanan, tapi berani bertanggung jawab, aku gabisa ganti rating yang di gofood jadi aku kasi rating disinii Lainnya",5 bintang
Nurul Izzah Aulia,"Outlet kopi kenangan yang paling bikin nyaman di Bintaro. Selain cukup dekat dari rumah, ambiencenya juga bikin betah. Walaupun posisinya dipinggir jalan raya tapi aku gak terganggu sama suara kendaraan. Pertama kali coba pesan pakai pickup … Lainnya",5 bintang
Smile 27picture,"tempatnya lumayan  bersih, cocoklah buat ngobrol bareng,,
Makanan: 4…
Lainnya",4 bintang
Boby Boby,Asik kalau yang mager... tapi waktu lead time servicenya lama... ramah dan akurat pemesana baik ditempat ini... Lainnya,5 bintang
Yayan Fauzi,"Tempatnya cukup nyaman, terutama di lantai atas yg ruang tertutup AC. Hanya saja ruangannya tidak lebar jadi suara agak mendengung. Tapi overall, bagus tempatnya utk nongkrong sebentar. Dan bapak tukang parkirnya asik, enak diajak becanda Lainnya",5 bintang
mala aksara,Pesan lewat online lama sekali. Pas tanya ke driver ternyata pesanan belum di siapkan. Lebih mengutamakan yang beli di tempat. Kasihan driver menunggu lama. Lainnya,1 bintang
Atina Salsabila S,"Pengharum ruangan utk yg di ruangan berAC mungkin bisa diganti ya jangan stella jeruk😞
Mau healing minum kopi jd pusing dan mabok cium baunyaaa
Jd berasa ngopi di dlm bus 🥺 …",3 bintang
Rahmawati zein insani putri,"Pelayannya bagusss bangeeetttt dan ramah ramah banget
Makanan: 5…
Lainnya",5 bintang
Natan D. Saminto,"Niatnya drive thru biar cepat, tapi pelayann drive thrunya lebih lama daripada pesen langsung.
Jenis …
Lainnya",3 bintang
Winda Tri Utami,"Tempatnya enak buat Nongki, malem Sabtu n malem Minggu buka 24 jam🥰🥰🥰 …",5 bintang
Baschan,"Suasana nya OK, tidak terlalu luas untuk parkiran mobil, tapi kalau untuk parkir motor OK, terakhir coba beli lewat drivethru, service nya harus diperbaiki sih, lumayan lama di jendela order, sempet klakson 2 kali nggak ada yg ngelayanin, … Lainnya",5 bintang
hendri marizal,Satpam nya suka malak. Msa ga dksh uang parkir teriak sih pdhl saya keluarin motor sendiri. Tiba2 minta duit   . Anehhh Lainnya,2 bintang
Digo Jevintya,"Di pinggir jalan, tempatnya ada yang ber AC dan non AC
Jenis pesanan
Mak…
Lainnya",5 bintang
gatot teguh,"Tolong kasih WiFi gratis dong untuk menjadi sebuah tempat yang tak mudah untuk dilupakan...
Jenis pes…
Lainnya",5 bintang
Putri andini,"SECURITY TIDAK SOPAN, TIDAK ADA UANG CASH UNTUK PARKIR DI OMELIN DAN DI BILANG TIDAK SADAR DIRI TOLONG DI CROSSCHECK LG",1 bintang
Defanra Yanuar,Pembuatan kopi sangat lambat sampai 20 menit. Kalau memang lama diinfo dong diawal agar orang tidak lama menunggu Lainnya,1 bintang
Silvia Rahmawati,"BAD BANGEEETTTTT,..beli tgl 6 mei 2023 jam 19.17 KASIRNYA NGOBROL SAMA PEMBELI YG SAMA2 KARYAWAN PAKE FOTO2 SEGALA PADAHAL DIBELAKANG UDAH NGANTRI BANYAK,.UDAH GITU BAYAR ADA KEMBALIAN 1000 DIBILANG GA ADA,CB AJA KL 1 SHIFT DIA JAGA KALI … Lainnya",1 bintang
Hari Purnomo,"Sempat ngopi sore hari disini, tempatnya agak luas dan ada parkiran motor dan mobilnya juga. Saat weekend bisa sampai malam. Semoga makin sukses usahanya. 👍 … Lainnya",5 bintang
Miss Faza,"Amanah, ketinggalan helm, d jagain, di simpenin, terima kasih yah.
Ramah
Baik
Sopan
Jenis pesanan…
Lainnya",5 bintang
Dimas Wratsangka,"Asik buat nongkrong kerja... mantap 👍🏻👍🏻👍🏻 …
Tarif per orang
Rp 25–5…
Lainnya",5 bintang
DHEVINA ENGGARISTYANI,Disamperin 3X karna saya lagi dowload apk kopi kenangan sampai pelanggan lain melihat saya pun jadi risih .... Lainnya,1 bintang
Andre Aksara,"lemot sekali pelayanan nya
Makanan: 1…
Lainnya",2 bintang
Eka Destarika Fajar,"Terletak di seberang pusrehab kemenhan RS Dr suyoto,  jalan veteran bintaro Jakarta Selatan, kalau mau cepat dan dapat promo pesan lewat aplikasinya yang bisa didownload lewat playstore Lainnya",5 bintang
Junaidi Chaidir,"Tempat order dan pickup dijadikan satu dan terlalu dekat ke jalan raya, klu ada 3-4 kendaraan yang datang bersamaan maka antrianya akan membuat kemacetan... Lainnya",5 bintang
R Dhanur,"Pesen less ice Light Coffee, dapat ya es banyak sampe gw dapet kopi yg berkurangnya rasanya. Lama lama Kerasa air doang, krn lelehan es dan masih banyak es nya Lainnya",1 bintang
Chindy Abraniyuana,Ada fasilitas Drivethru jd lebih praktis utk yg buru2 ga usah parkir. Letaknya tepat sebrang RS Suyoto. Lainnya,5 bintang
Ivano Fillino,"Sudah 2x drive tru disini. Yg pertama pelayanannya cepet, eh yg kedua kok lama bener
Jenis pesanan…
Lainnya",4 bintang
Merlyza Putri,"Tempatnya unik, cm agak panas tempatnya apa lg kl siang hari,,",4 bintang
Desi Indah Kurniasari,"Team Mager turun kendaraan cucok udh beli dsni mah
dkt rs. suyoto bersebrangan..
tmpt duduk mnum ditmpt jg enak byk kursinya
good place sih.. Lainnya",5 bintang
