Nama Pengulas,Ulasan,Rating
setiabunda,"(Translated by Google) Perfect for working or hanging out. There's a cool, comfortable indoor area and an outdoor area for those who want to smoke.
It's relatively new and quite busy. … Lainnya",5 bintang
dessy danggraini,"Tempat terbaru di daerah Rawa Belong yang buka 24 jam. Free wifi, ada colokan listrik buat ngecharge, mushola, toilet, dan parkir yg luas. Enak banget sih buat duduk2 sambil baca buku atau kerjain tugas. Walaupun disitu tidak ada limited … Lainnya",5 bintang
Java Maukar,tempatnya nyaman orang orang staf baik dalam kinerja dan juga pelayanan dan semua resep resep baik kopi atau teh atau susu digabung lengkap dan ini tempatnya paling cocok untuk mahasiswa mahasiswi dari fakultas mana aja karena memang dekat … Lainnya,5 bintang
Mochammad Awaludin Romdloni,Cafe 24 jam paling comfy dan cozy banget menu Kopi Kenangannya tetep nikmat as usual makin nyaman dengan tempatnya yg super estetik best deh Lainnya,5 bintang
Bintang Mahardani,"Ngopi santai di Kopi Kenangan Rawa Belong — tempatnya luas, ada area outdoor, WiFi lumayan kenceng, cuman klo rame rada ngelag sama ada musollanya juga, … Lainnya",5 bintang
Pamelah Safitri,"Gue share pengalaman gue sejujur2nya :

Pertama adalah hal positif yg gue suka store nya baru dan konsep kyaknya untuk … Lainnya",1 bintang
Andre Lesmana,"Sekiranya mood lagi gak bagus mah gak usah kerja dulu, saya driver grab dan ini pun orderan dekivery jadi cumsn ambil dan antar. Malah jadi nunggu, saya tanya berapa menit lagi gak dijawab. Pelayanan pun dibeda""kan👎🏻 … Lainnya",1 bintang
munchies,"Mas dan mba nya ramah n helpfull, gampang bgt mau redeem voucher dr qpon juga, cozy place for wfc, buat kopinya no doubt at all🤩 … Lainnya",5 bintang
Rahmawati Eka putri,Wow... Keren skrg tempat nya stlh pindah deket kampus Binus anggrek. Konsep nya skrg sprt t4 kopi2 tongkrongan bukan yg tempat nya sempit yg cuma menyediakan bbrp bangku aja. Ke depan nya bisa sprt ini tempat2 yg lain nya. … Lainnya,4 bintang
Dyani Anjani,"rame banget disini, apalagi kalo malem / pas weekend siap² aja ga dapet tempat.
plus nya interiornya mewah, fancy, aroma kayu , cuma rame aja, colokannya agak kurang kalo menurut saya sih.
overall bagus 24 jam soalnya Lainnya",5 bintang
Rizki Alaudin,"Puas sih. Makanannya enak, tempat jg cozzy. Tp utk Pelayanannya agak agak nih, sy cuma salah nyebut menu aja di ketawain kasir gesss Lainnya",2 bintang
Arfi nasrullah,"kalo malem apalagi malem minggu siap2 full deh
utk area outdoor cukup baik dan banyak spot charger nya Lainnya",5 bintang
Feren Mindiani,sejak pindah ke tempat baru. baristanya pada baru. jujur ga terlalu suka. masaaa ga ditanyain member  (ya walaupun bisa bilang) dan kurang sop deh kalo kata saya. masa pesen kopi oatside kenangan mantan. yang dateng malah kopi kenangan … Lainnya,1 bintang
