Nama Pengulas,Ulasan,Rating
Tsabit Lefi,"baru tau kopken ada chickennya gini, ayamnya enak lagi gurih dan spicy... tempatnya nyaman, asik buat nongkrong ataupun yang mau WFC juga seru ini.. wifi lancar dan berAC lagi, bersih dan amann Lainnya",5 bintang
Arfan Rs,"Tempat yg sangat cocok buat ngopi di daerah benhil
Plus nya:
(+) tempat mayan besar utk kedai kopi, ada 2 lantai … Lainnya",5 bintang
Aji Suryana,"Ngopi di Kopi Kenangan cabang Benhil ini nyaman banget karena tempat duduknya banyak, ada lantai 2 nya juga dan AC nya disini dingin banget, cocok banget buat wfc. … Lainnya",5 bintang
Muhammad Isan Albuchari Nasution,"Ruko benhil, udah kopi lebih mahal dr tempat biasa, tp PELAYANAN LU LAMA BGT. Karyawan cuman dua orang. Pdahal KOPI DISINI LEBIH MAHAL DR KOPKEN LAIN Lainnya",1 bintang
Leoni Patiwira,"Nyaman, adeeeemm bgt karena AC-nya super dinginnn. Tempat yg cocok buat hangout seharian bareng temen atau skripsian/kerja sendirian. Menu makanannya jg beragam. Staffnya juga ramah” sekali👍🏼 … Lainnya",5 bintang
Agustina Situmorang,"Tempat nongkrong ternyaman setelah starb*cks benhil, karena bisa nongkrong lama dan pelayannya tidak akan resek.
Tempatnya lumayan luas, ada 2 lantai, lantai 1 semua indoor, lantai 2 indoor dan … Lainnya",5 bintang
Angellica Maya,"Baru pernah nyobain Kopi di campur Kelapa, Di minum polosan aja ini hydro coco udah enak banget … Lainnya",5 bintang
Kulinerku,Tempat ngopi. Letak strategis berada di daerah bisnis Sudirman. Tempat mudah di jangkau. Tempat duduk lumayan banyak. Tempat bersih. Suasana nyaman. Pilihan menu kopi bervariasi. Harga sangat terjangkau. Untuk rasa sebanding dengan harga. Pelayanannya ramah dan cepat. Parkiran berada di tepi jalan raya. Lainnya,5 bintang
Yopi A,"pelayanan ramah,
tempat luas
parkir luas juga … Lainnya",5 bintang
Alfred31,"first kopi kenangan yang ada fried chickennya di jakarta.worth ith bangett

toilet ada,wifi tersedia,tempat yang nyaman. … Lainnya",5 bintang
Putra Trisakti,"Ini kan jatohnya kafe ya, kalo bisa pemilihan lagu nya juga ditinjau ulang.

sering banget nyetel musik jedak jeduk angkot musik timur yang suaranya kayak … Lainnya",2 bintang
