Nama Pengulas,Ulasan,Rating
peb_inside,"kopi kenangan ini pinggir jalan . samping nya hollan bakery. parkiran luas nyaman
Jenis pesanan…
Lainnya",5 bintang
Faris Akbar Fauzan Azmi,"Kopi kenangan Ruko Ceger ini adalah penyelamat ketika sudah cape, panas, macet setelah dari ""Cipadu"" lokasi lumayan dekat namun sayang slot parking amat sangat terbatas sehingga beberapa kali kesulitan untuk parkir. … Lainnya",4 bintang
Cny Cindul,"Langganan kopi kenangan! Selain rasanya pas dan harganya terjangkau suka ada promo jugaa. Utk Strategis karna pinggir jalan, samping holland bakery. Tempatnya bisa dine in ada 2 lantai, lantai 1 dan lantai 2 (no smooking/smooking area) … Lainnya",5 bintang
Satun Tri Rahma,"Enak pesen kopi di sini
Deket kantor
Ada wifi … Lainnya",5 bintang
Bonnie Budiman,"Kopi kenangan bukan untuk mengenang mantan 😁
Kalo emang gak punya 🤣
Tapi emang enak kopi nya … Lainnya",5 bintang
andy wiyanto,"Hari ini (Minggu) dan kemarin (Sabtu) saya ke smoking room di lantai 2. Suasana selalu sepi dalam 2 hari ini, hanya ada saya di lantai 2.
Sekalipun agak panas (smoking room non AC, tapi ada kipas angin), tapi sangat … Lainnya",5 bintang
Arriya,"pesan kopi sudah setengah jam baru jadi, sedangkan yang baru datang langsung didahulukan ini bagaimana ya antriannya? apa memang yang datang belakangan dilayanin terlebih dahulu kah? haduh Lainnya",1 bintang
Kintil 123,resto ga jls di aplikasi buka pas di toko tutup KLO ga niat buka 24 jam ga ush buka driver yang kena imbasnya,1 bintang
rita desianti (bunces),"Racikan kopinya pas, tersedia roti dan cookies. Tempatnya jg nyaman utk nongki.bawa anak2 juga bisa karena ada ice creamnya 😊 … Lainnya",5 bintang
Fadli Oktavian,"Lama banget dan ternyata yg melayani cuma 1 orang, handle kasir sekaligus barista
Makanan: 1…
Lainnya",1 bintang
Dian Astuti,Pelayanan nya sangat ramah bintang 5 saya minta dikurangi kopi nya ternyata sesuai maakasii kaka semangatt kerjanya yaaa kapan kapan mau mampir ke outlet langsung🤗 … Lainnya,5 bintang
