Nama Pengulas,Ulasan,Rating
Kinanthi Indah,"Hallo kopken saya beli kopken di apk oren, beli kopi americano dan kopi kenangan mantan di outlet ini,  jujur ini keterlaluan si beans nya sudah apek tapi masih dibuat? Apakah tidak ada beans yang maasih fresh. Seblumnya apakah tidak di … Lainnya",1 bintang
Rio Ladita,"Rasa kopi nya mantap konsisten kompleks
Pelayanan barista nya ramah god job ❤❤❤
Tempat dine in nya aja kurang enak kalo buat nongkrong lama selebihnya mantaapppa Lainnya",5 bintang
Byskr,"Staff nya kurang di edukasi soal promo2 yg berjalan. Kemarin mau pake promo bank saqu ga bisa, katanya ga ada menunya. Padahal di snk bank saqu ga ada pemberlakuan jam promo nya.",3 bintang
Sefira Aulia,"The staff is only 1, tolong dong untuk outlet yg ini ditambah staffnya. Kasian 1 org merangkap semua jobdesc, jadi kasir sm barista.. Ga ada yg ngebantu, outlet lumayan penuh",3 bintang
hilda feby,"12 april jam 21.57 mau pesen dibilang udah tutup, pas makesure lg bukannya jam 22.00 yaa tutupnya? Baru di layanin dengan lumayan jutek 2 staffnya. Padahal jam 22.00 udah jadi tuh kopi. Kenapa sih kaya gini aja di ribetin😭 … Lainnya",3 bintang
Alfiyansyah 2005,"Saya pecinta kopi di outlet kopi kenangan tapi disini rasanya tuh baru didiamkan 5 menit uda tidak berasa/hambar, sepertinya racikannya tidak sesuai SOP atau gmana gtu.. Lalu wifi nya yang tertera di struknya tidak bisa koneksi. Lainnya",2 bintang
heri suyono,pelayanan untuk online sangat jeleh order expres delevery sampai tempat blm di di proses...masa di samakan sm order food..tolong di perbaiki lagi beda sama resto lain datang antar Lainnya,1 bintang
Maulina Silma,Gue setia sama kopken tpi benerbener kecewa banget sama pelayanannya. Biasa beli dari aplikasi trus delivery atau engga dipick up suami nah ini baru pertama kali pick up sama baby ditinggal suami eh ternyata suami ada kendala di jalan … Lainnya,1 bintang
sarah,"barista kopken mencong menurut aku tiap ngeracik kopinya enak-enak banget daripada yang di cabang deket tj. gapernah kemanisan walaupun aku ordernya normal gulanya, trus kopinya nendang banget. selain itu, baristanya baik baik banget ramah banget 💕💕 … Lainnya",5 bintang
Rief AMD,"Lokasi dekat dengan rumah mudah di jangkau
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang
Rea Silvia,"Kopi nya enak, pelayanan nya cepat 👍🏼 …",5 bintang
WP MotoVlog,"Sepi, gak ada yg beli ada pesenan online gak dibikinin, nunggu apa kali
Makanan: 1…
Lainnya",1 bintang
Vera Herawati,"Pelayanan baik ,staff nya ramah""   ,kopinya enak,dan enak buat nongkrong good bngt rasannya...
Jenis …
Lainnya",5 bintang
Alvian Mus,"Racikan seperti tidak sesuai, beda rasanya dengan kopken yg lain
Makanan: 1…
Lainnya",1 bintang
ZAINUDDIN Zai,"Tolong jadi pelayan terapkan 3S jangan jutek2 mba kya owner aja
Makanan: 1…
Lainnya",1 bintang
alfian musthofa,"Es batu nya banyak bener.. isi nya cuma dikittt
Jenis pesanan
Bawa pulan…
Lainnya",2 bintang
Topan Azis marta,"Sangat cocok untuk nongkrong semuannya baik"" ramah dan nikmat
Jenis pesanan…
Lainnya",5 bintang
Asri Lathofta,Racikan kopi kenangannya paling enak menurutku tempatnya lumayan enak buat ngobrol karena ga ramai.Paling penting dekat dari rumah. Lainnya,5 bintang
Airin Zaskia,"bagus
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Kiki Maria,oke,5 bintang
day,"salah satu cabang yang kadang sebelum jam 7 dah bukaaa veri helpful
Jenis pesanan…
Lainnya",5 bintang
Arief Nurhakim,"kopinya sangat enak
pelayanan cukup cepat
baristanya sangat ramah🖤🖤🖤 …
Makanan: 5…
Lainnya",5 bintang
sri yuliatin,"pelayanan cepat, dan ramah
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
Neng Lia,"pelayanan ramah,kopi nya juga enak
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
yeni ratnasari,"Udh beberapa kali ksni si
Makanan: 5…
Lainnya",5 bintang
