Nama Pengulas,Ulasan,Rating
Faquita Almas Fitriyadi,"Cafe nya ada lantai 2 nya, bagian outdoor sama indoor, cukup luas sih, banyak stopkontak juga di tiap tembok samping meja nya.
Minuman dan pelayanan semua oke kok. Enak minumannya, pas, ga lama waktu … Lainnya",5 bintang
Stevano NB,"Saya coba yg promo tiramissu series, ini subjektif tapi menurut saya yg normal nya masih sedikit kemanisan … Lainnya",5 bintang
Nona Lisa,"Tempat paling nyaman dr semua kopi kenangan yg aku datangin, staf nya semua ramah. Tempat colokan juga banyak, pokoknya the best lah terutama mba Tiara 👍 kmn pun akan kembali kesini lagi dan lagi … Lainnya",5 bintang
annisa nurul,"Mba nya saat melayani seperti tidak niat, saat saya sebutkan mau pesen apa dia malah ketukketuk meja ga dengerin!!! Tolong sdm nya di perhatikan",1 bintang
Lilis Naryanti,"Orderan udah 30 menit baru dicetak struk,harus nunggu antrian reguler jg.
Nih outlet emang bodohnya gk berubah2",1 bintang
rani yani,"sumpah pelayanan staffnya jelek bgt si, pas dtg udh sebutin nama sama nomer blgnya waiting list tapi yg baru dateng langsung dapet. terus gue cuma ngeliatin aja ga ditanya2 hampir sejam. terus baru blg"" td kaka nomer brp ya namanya siapa"" … Lainnya",1 bintang
Eva Banjarnahor,"Dibiarkan menunggu sangat lama, saat menyampaikan mau pesan karena dicuekin, mbaknya menjawab sebentar tanpa menoleh sedikit pun. Pelayanan buruk sekali. Tolong lebih diperhatikan karyawannya terutama karyawan wanita tanpa hijab tanggal 19 Desember 2025 jam 10.40 Lainnya",1 bintang
Nur Effendi,"Kurang bagus pelayanannya, Sy pesan 100 kopi utk jam 5 sore, tapi Sy salah pesan mau ganti yg 75 dari Americano menjadi ke Kopi Kenangan Mantan dan Sy siap menambah biaya tambahan, tapi tidak bisa dengan alasan sudah di input padahal masih … Lainnya",1 bintang
Renita oktaviona,tempatnya bagus dan barista nya ramah ramah seperti kak shahrul dia hafal dengan pesanan saya hehehe👍🏻👍🏻👍🏻 … Lainnya,5 bintang
Herman Susanto,"Kopinya enak, pelayanan nya juga okee sering saya kesini sampe mbak tiara nya hapal persenan saya,, top lahhh 😄👍👍👍 … Lainnya",5 bintang
Hart Li,"Order Large (less ice, normal sugar) yg datang Reguler ; minta ganti sesuai order malah hanya di tuang ke Cup Large lalu di tambah es batu yang banyaaak.
Ini bukan nya Less ice lageh, jadinya Normal/Full ice tapi kopi nya sedikit. … Lainnya",1 bintang
ryn,"Pelayanan sangat buruk, untuk ke 2 kalinya dicuekin oleh kasir dan dibiarkan menunggu lama tanpa omongan apa2 Lainnya",1 bintang
Yance Cobra,"kopinya enak, langganan setiap hari
Makanan: 5…
Lainnya",5 bintang
Hunnies Bee,"Barista nya ramah"".... always langganan di sini
Makanan: 5…
Lainnya",5 bintang
risma silaban,Keren.. nyaman bt nongkrong.mba Tiara orangnya ramah dan yg lainnya jg.kopinyw jangan ditanya pastinya enakkk... Lainnya,5 bintang
Diana Dewi,"Tempat nya nyaman dan dingin, cepet pelayanan nya. Kak Tiara hafal sama namaku ♥️
Makanan: 5…
Lainnya",5 bintang
Uway Zam,"tempatnya nyamannn buat nongki, pegawainya juga ramah ramahhh
Makanan: 5…
Lainnya",5 bintang
FELIX HARYANTO,"7/2/2026 jam 20:47. Pelayan cowok tidak bagus pelayanannya
Makanan: 1…
Lainnya",1 bintang
GITA APRIYANTI,"Hari ini saya beli di Kopi Kenangan Greenville sekitar pukul 20.20, tapi langsung dibilang hanya bisa take away. Padahal, masih ada banyak tempat kosong dan pelanggan lain masih duduk di sana. Saat saya tanya jam tutupnya, katanya 21.30, … Lainnya",1 bintang
Drever Samsudin,"sy DTG duluan mala org lain yg diksih duluan,padahal sm2 beli",1 bintang
Baskara abas,"Mantap, tempatnya nyaman, bakalan dateng lagi dan lagi mantep pelayanannya juga ramah",5 bintang
Zhang thonny,Saya menilai sabjektif dari segi tempat dan kenyamanan saja bukan dr segi pelayanan itu relatif setiap orang pasti berbeda ya..!!! … Lainnya,4 bintang
Suhendri Suhendri,"Pesan antar via kenangan app. Pesan tambahan boba, dibilang habis, mau ganti grass jelly, juga habis.
KALO HABIS, JANGAN DIJUAL DI APP!!!!! Mau untung aja. … Lainnya",1 bintang
Sukamto SH,"Malas sama staff atas nama putra.
sy tawarin temen buat pesan kopi di kopken, pesan 4 gelas di buatin 3 gelas. Sampai kantor kurang 1 gelas. Sy minta kopi nya kembali tetapi staff atas Putra bersikeras sudah buatin 4 gelas. Lainnya",1 bintang
Ivyna Martin,"Asik banget semakin banyak cabangnya. Tiap ke RS bisa mampir beli
Jenis pesanan…
Lainnya",5 bintang
Muhammad Arsyad,Tolong dong petugas CWE sift pagi tanggal18 juli 2025 di ganti...semua orang nunggu udah 15 menit masih cetak struk.... … Lainnya,1 bintang
