Nama Pengulas,Ulasan,Rating
Aifa Aini,"Nyaman banget buat wfc atau nongki, adem dan tenang, +++ ada mushola bersih dan nyaman
Jenis pesanan…
Lainnya",5 bintang
Mutiara Jeihan,"Tempat nyaman dua lantai dan pelayanan ramah dan cepat.

Akhirnya ada juga store di dekat sekolah nyokap, jadi nunggu jemput nyokap bisa nongkrong di sini.👍👍👍 … Lainnya",5 bintang
Anindya Alfachrany,"tempatnya nyaman bgt , tukang parkirnya lucu WKWKWKWKWK bersih jugaa, baristanya humble bgt
Makanan:…
Lainnya",5 bintang
nanda susanto,"Mantap Selangkah dari rumah tempat enak buat nongkrong
Jenis pesanan
Mak…
Lainnya",5 bintang
Richvin Juliana,"Tempat nya Bersih Dan Cozy
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
chalidaainun nisrina,"Store nya baru deket bgt sama kantor dan barista nya juga ramah dan informatif
Makanan: 5…
Lainnya",5 bintang
daynaera,"tempat nyaman untuk wfc!! pelayanan sangat ramah⭐️⭐️⭐️⭐️⭐️
Jenis pesanan…
Lainnya",5 bintang
Jeremy 151,"disini pelayanannya sangat baik, ramah dan sangat cepat pelayanannya😘😘 …
Makanan: 5…
Lainnya",5 bintang
Marissa Eriyana,"Tempat nya bagus, nyaman dan pelayanan nya baik
Makanan: 5…
Lainnya",5 bintang
ella Mahri,"Wah recomend bgt kalo mau nongki cantik ditempat ini, krn tempatnya aesthetic bgt
Slain itu yg paling the best pelayanan cepet Barista nya ramah² bgt Lainnya",5 bintang
Dwiky Reziandino,"Kopinya juara, pelayanannya ramah, tempatnya enak buat santai sambil wfc
Tarif per orang…
Lainnya",5 bintang
siti rohma gia,"Tempat nya nyaman, baru juga dan sepi. Menyenangkan sekali, enak buat kerja 🫶 …
Jenis pesanan…
Lainnya",5 bintang
Adit Gusty,"Seating area nya luas , nyaman, baristanya ramah ramah
Tarif per orang
R…
Lainnya",5 bintang
Daffa Putra Maliki,"Kopi Kenangan Ternyaman Di Dunia 🫰 …
Makanan: 5…
Lainnya",5 bintang
