Nama Pengulas,Ulasan,Rating
Blue,"minuman dan dessert nya seperti biasa, enak enak aja not bad. dan ini pertama kalinya beli japanese curry karna di gambar enak gitu ya ada kuah kentel dan nasinya padat. pas sampai sini 24k sedikit itu? nasinya kering semua dan ayamnya bener bener 2 potong? gila sih 😅 rasanya juga ga memuaskan … Lainnya",1 bintang
mampir stories,"Overall sudah baik. AC dingin, kamar mandi cukup bersih, colokan aman, wifi lumayan.
Jenis pesanan…
Lainnya",5 bintang
Leksa,"Tempat nya, nyaman banget, cocok buat yang mau WFC, wifi tersedia, untuk minuman dan makanan juga okee, Harga stabil, tempat nya bersih, kamar mandi bersih, AC juga dingin, Barista nya ramah² langganan banget sama kopi kenangan di tempat ini, bagus tingkat 2 ada, outdoor ada indoor juga di bawah Lainnya",5 bintang
Indra Adi susanto,"Dari sekian kopi kenangan yang saya datangi, untuk kopi kenangan ruko joglo pelayanannya yang terbaik ,baristanya ramah ramah dan minumannya selalu dengan rasa yang konsisten dan satu lagi toiletnya selalu bersih.👍 … Lainnya",5 bintang
Anggi PradewaNS,"Mantep bgt tempatnya bersih nyaman,baristanya ramah ,rekomend bgt pokonya kopi kenangan ruko joglo
Makanan:…
Lainnya",5 bintang
Anna Handayani,"Tempat nya nyamaan, parkiran luas, minuman dan makanan nya enak-anakk
Jenis pesanan…
Lainnya",5 bintang
Merry Febri Dwi Handayani,"tempatnya nyaman, pelayanannyaa okee bangeettt ramah2 baristanya, terbaikk deh buat kopken jogloo
Makanan:…
Lainnya",5 bintang
Muhammad Rizki,"ac nya adem dan tempatnya nyaman buat nugas, toilet  nya bersih, baristanya juga ramah ramah
Makanan:…
Lainnya",5 bintang
siti rohmah,"Outlet kopi kenangan yg buka 24jam, lumayan dekat dr rumah kalo malem-malem butuh caffein yaa.
Kesana untuk Redeem voucher qpon jugaa. … Lainnya",5 bintang
Cny Cindul,"Terdiri atas 2 lantai, kursi banyak, tapi dilantai 2 ac nya ga kerasa. PANAS. Ga ngerti buka toko apa gak beres2 dulu. Ruangan segede itu dikasih AC cmn 1. Gak ada colokan dilantai 2 gabisa dijadikan tempat WFC. Pelayanannya? Judesss semua. … Lainnya",1 bintang
Tantri Sriastuti,"Saya termasuk orang yg sangat suka koken, udh sering beli koken tp coba beli yg di joglo rasanya bner2 bad jauh banget sama yg biasa aku beli, rasanya gada creamy2 butterscotch nya. Kaya cuman bnyak es batu trus ma kopi biasa gada manis2 … Lainnya",2 bintang
Teguh Budianto,Kedai franchise kopi kenangan di ruko joglo sebelum Komplek Alfa Indah. Tempatnya asik dan enak buat hangout. Ada indoor dan outdoor. Parkiran juga available buat mobil dan motor. Dulu sebelahnya ada Fast Food Chigo tapi sekarang sudah tutup. Sekatang sebelahnya diisi minimart khas Korea. Lainnya,5 bintang
Bayu Stiawan,"Pilihan minuman dan makanannya sangat beragam, dari kopi sampai non-kopi semuanya enak. Rasa kopinya pas dan makanannya juga enak. Tempatnya nyaman dan pelayanannya ramah. Lainnya",5 bintang
winyjiel,"jadi lebih sering ke sini karena dapet experience ga enak di cabang lain. servicenya oke, ramah dan murah senyum. tempatnya bersih, toiletnya juga nyaman. wifinya kenceng, enak buat wfa. … Lainnya",5 bintang
regina thasyadk,"tempatnya bersih, nyaman buat nongkrong",5 bintang
reza risa,"kopi kenangan yang lokasinya strategis di jalan raya joglo, dengan parkir yang lumayan spacious. … Lainnya",5 bintang
Akbar wisnu Prakoso,"barista ramah, parkiran luas.
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang
aull Alaydrus,"Posisi ruko nya sederetan MCD joglo, tapi dia sebelum MCD Untuk tempat dia luas, ada bawah dan atas.. Gak terlalu rame juga jadi enak kalo mau baca buku atau sambil ngerjain tugas.. … Lainnya",5 bintang
