Nama Pengulas,Ulasan,Rating
Laila Agustin,"Maaf sebelumnya saya beli 3minuman kopi lewat shopeefood, 2kopi kenangan 1nya lagi creamy aren, rasa nya berbeda ditempat2 lain, beda tempat beda rasa, 2kopken rasa nya begitu pait banget rasa nya kaya double shot esspreso, kaga ada rasa … Lainnya",3 bintang
Nada Salsa,"lagi aneh aja sm staff nya, sy dtg di suruh tunggu dl trs dia lg beres2 duduk kurang lebih 5-10menitan mungkin , g lama ada gojek lgsng di lyanin dan cust berikutny di layanin jg, abs itu suami sy ke kasir malah di tny “mau pick up apa … Lainnya",1 bintang
Devi SA,"Outletnya dibawah stasiun MRT pas, buka 24 jam, tempatnya juga lumayan tenang
Jenis pesanan…
Lainnya",5 bintang
,,3 bintang
,,1 bintang
,,5 bintang
Novien Heidi,"Pelayanan buruk, sy datang Minggu, 29 Juni 2025 sekitar jam 2 siang. Pas masuk crew laki-laki kalo gasalah namanya Muarif, melayani sambil main game di hp, pas mau bayar lgsg naro alat qr di atas roti, sy bayar agak lama krn lagi buka app … Lainnya",2 bintang
nukiandari parveritasari,Lokasi yg deket banget dengan pintu kluar stasiun MRT bikin lokasi ini jd salah satu lokasi Pilihan buat nunggu hujan reda atau nyelesein kerjaan sambil nunggu macet reda. Kopi dan makanan dh tau dong rasanya. Buat dekor lokasi emang minimalis banget cenderung sepi.  Wifi gratis colokan banyak cocok buat yg  Egc Lainnya,4 bintang
Egi Tyo Kristy,"Salah satu tempat coffee shop yang sangat gue suka karena kopi nya suka banget dan murah juga gaperlu sampe ke starbucks lagi. Bahkan untuk minuman thai tea nya termasuk enak karna gue juga penggemar thai tea banget, letaknya dekat dengan stasiun mrt lebak bulus jadi gampang kalau kesini...",4 bintang
Rina Juwita,Tempat nunggu kalau pagi sblm naik ke mrt... Pelayanan ramah dan barista Naufal  ngeraciknya ok sesuai dengan taste aku... Ngeblend bangeeet....sukses kedepannya ya...jangan pindah ya dari Lebak bulus...,5 bintang
Muhammad Alfaridho,"Buat mas rio  yg masuk malem,thankyou baik bngt  semoga rezekinya lancar selalu🙏🙏 perfect creamy aren latte … Lainnya",5 bintang
