Nama Pengulas,Ulasan,Rating
Valentine Romano,"besttt!!!! satu satunya outlet kopi kenangan yang bisa buat aku kalau udah duduk di sini gamau pulang, selain karena rasanya konsisten, pelayanan nya ramah plus cepet banget. semua barista yang aktif di sini sekarang bener bener bisa buat … Lainnya",5 bintang
Eni Aniansyah,Alhamdulillah seneng hr ni k kopi kenangan ruko meruya selatan d layani dgn baik dan ramah2 barista nya.. Emng yg kmrn2 ada bbrp mbk2 barista n kasir nya jutek2 brasa mrasa  yg pnya outlet tp hr ni alhamdulillah ktmu dgn mbk2 barista yg … Lainnya,5 bintang
이든,"Ada dua lantai, yang bawah full indoor yang kedua indoor dan outdoor. Di lantai dua, pintu pembatas antara indoor dan outdoor tidak bisa tertutup rapi. Sehingga bau rokoknya sampai area dine in. … Lainnya",3 bintang
Yovi Naila Salsabila,"Tolong dong kepala cabang Kopi Kenangan daerah Meruya ditegur pelayannya, sudah berlangganan berkali-kali tapi melayaninya judes, terus sering nyindir customer. Meskipun, bukan ke saya tertujunya, tapi janganlah menyindir2 gitu, dikata … Lainnya",1 bintang
Fabyan,"Tempatnya lumayan nyaman, hanya saja parkiran selalu penuh, padahal ketika masuk cukup sepi untuk yg bawah, untuk barista nya sepertinya selalu jaga sendiri terlebih lagi banyak customer yg selalu memanggil manggil padahal barista nya sedang malayani pembeli yang lain Lainnya",5 bintang
M Y,"Tolong ya buat owner kopi kenangan Ruko Meruya Selatan...
Karyawan yang hanya SEBATAS KASIR boleh diTATAR lagi jauh lebih baik dan tidak pilah pilih dalam melayani.. bukan berarti yang beli itu diliat dari penampilan … Lainnya",1 bintang
Scarlett Pope,"Sejak kepala cabangnya ganti password wifi jd ga sesuai sm yg di struk. Mana judes lg, sok iye, tolong diganti lg kepala cabangnya, gak ramah sm cust!!!!!!!!!!!",1 bintang
Patricia Muljadi,"Pesan to-go basuc americano jam 7.30 pagi, kopi nya siap di pk 8 dan saya bayar premium. Luar biasa. Lainnya",1 bintang
duwai,"Hari Selasa tanggal 22 Juli 2025. Tolong ya mba mba yang hari ini jadi kasir jam 09.28, kalo ngomong tuh baik baik jangan nyolot, tolong banget ya kopi kenangan di kasih tau. karna gak cuma sekali mba mba nya tuh ngomong nya nyolot banget … Lainnya",1 bintang
Lik Flower,"tempatnya enak untuk ngerjain tugas kampus dan pelayanannya ramah. sukaa, jd tmpt fav deh klo buat nugas-nugas",5 bintang
Mona A. Yuwono,"Kopi Kenangan baru buka di seberang Kampus Universitas Mercu Buana. Ada dua lantai, bisa ngopi sambil bikin tugas di sini. Lantai bawah full indoor. Lantai atas, ada outdoor dan ada indoor. ACnya dingin banget. … Lainnya",5 bintang
Putri ajeng,"SUMPAHH KOPKEN SINII PELAYANAN NYA BAGUSS BANGETT, BARISTA NYA JG ASIK ASIKK BGTT UDH KAYA BESTIE SNDIRI CUY LOVE SEKEBON INTINYA😍🤩🤩 … Lainnya",5 bintang
Lacibolala 30,"kasirnya yang nama kak refi helpful dan pelayanannya cepat bangett sukaa
Jenis pesanan…
Lainnya",5 bintang
Teguh Budianto,Ruko Kopi Kenangan sebrang Univ Mercubuana. Lokasinya strategis depan Kampus dan samping Masjid  Mercubuana. Lainnya,5 bintang
Erika Puti Ansori,"Saya beli voucher tiktok pesan Nobo Oatside Latte 2, tetapi saat sampai ternyata stock oatsidenya habis. Anehnya malah disuruh ganti pesanan atau ganti cabang sama karyawannya. Padahal pesanan ini tidak bisa di refund seperti voucher tiktok … Lainnya",3 bintang
Gabriella Bunga P,"Ruang non smoking lt atas bnyk yg nge pod, kadang bau rokok sampai ke bawah
Makanan: 5…
Lainnya",5 bintang
ayu cintani kusuma,"Beli latte large no sugar 2 pc, di take away jam 11 siang. Pas diminum di rumah berasa ada gulanya. Utk mba2x yg jd kasir dan barista nya tadi saya lihat pas bikin kopi saya barengan dgn kopi org lain, entah cup nya barengan jd ada sisa … Lainnya",2 bintang
Eric Bachtiar,"Kopi mantab, tempat nyaman, hanya saja agak kecil, dan parkir jika bawa mobil  sungguh sulit. Parkir mobil hanya muat 1 slot aja Lainnya",5 bintang
Dyah,"Maaf banget mba atau mas pelayannya tidak ramah bintang satu
Makanan: 3…
Lainnya",1 bintang
Ufi Nur Wahyuni,"enak bisa jadi tempat chill bareng temen 🤪🤪 …
Jenis pesanan
Makan di tem…
Lainnya",5 bintang
Indra Betas,Kl utk santai enak ko tmpt nya ngga terlalu rame JD enak,4 bintang
Firyal Yusriyah Salsabila,"Kopinya enakkk, favoritku yang matcha espresso.
Yang buatku terkesan tuh si masnya bisa ngetik nama aku dengan benar lohh.. applause lahh soalnya jarang banget ada yg bisa ngetik namaku dengan benar Lainnya",5 bintang
Nur Isra Aurelia,"pelayanan atas nama ka refi humble bangett,,
Makanan: 5…
Lainnya",5 bintang
Erichaa Octaviani,"Lokasinya depan kampus mercu buana. Sayang bgt yg serve dan transaksikan cm 1 orang aja. Jd agak lama pelayanannya. Ambience nya ole kok buat nugas ataupun WFC. kemarin roti2nya agak kurang lengkap sih, mungkin rada kemahalan kali ya buat … Lainnya",4 bintang
Inez,"Salut sama mbak nya. Saya pesan dan bilang lagi buru2, sedangkan antrian ada 5. Si mbak bilang cepet kok 5 menit. Teng di 4 menit dari setelah bayar, orderan saya jadi. Top d. Keep up the good service like this Lainnya",5 bintang
Dian Hafizah,"Baristanya ramah bgt, namanya ka desli!
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Desliana Dwi,"Wifinya lancar,tempatnya nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Lentera Rosita,"Perfekkkk slalu langganan ksini
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Dina Khumaira,"Ruko kecil, parkiran sempit, tukang parkir NGESELIN. Mo beli kopi segelas take away aja, emosinya gara2 tukang parkir. Lainnya",3 bintang
maria sitohang,"Sebagai pembeli kecewa terhadap toilet kopken meruya yang sangat kotor, sampah dimana mana dan kloset yg tidam bersih, harus lebih diperhatikan lagi. Lainnya",1 bintang
Dewi retno Wulandari,"Tempat oke buat nongki2 , rekomen sih ini
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
