Nama Pengulas,Ulasan,Rating
Daru The Explorer,"Dari luar tampak kecil, tapi ketika masuk tempatnya cukup luas dan meja bangku lumayan banyak. Rapih dan bersih.
Pelayanan terbilang baik dan ramah. Waktu pembuatan standar. Untuk rasa sudah sesuai standar. Lainnya",5 bintang
Tsabit Lefi,"indoornya enak banget ini adem, kopinya udah pasti nikmat lah yaaa sambil nunggu kereta balik jam kerja nongkong dulu sejenak ngopi terbaik si ini. harganya juga terjangkau, deket banget stasiun juanda lagii Lainnya",5 bintang
Yopi A,"kk baristanya ramah.
tempat luas ada indoor dan outdoor buat smoking. free wifi.
untuk tukang parkirnya ramah banget pad mau jln didoain segala 🤭🤭🤭 … Lainnya",5 bintang
ferlita farah tania,"pelayanannya ramahh bgtt, kopinyaa juga enakk enakk, bestt dehh pokoknyaa kopken pcenenongan😍 jadi seringg kesanaa karna tempatnya nyaman juga buat ngerjain tugas tugasss🥰🥰🥰🥰 … Lainnya",5 bintang
Pidipi Pi,"Malam malam Hujan, markir motor sendiri, ngeluarin motor sendiri. Tukang parkir ada dua ngeliatin doang trus nagih 4 ribu. Tolong dong pengelola yang bener",1 bintang
niko karnadi,"Saya order di aplikasi kopi kenangan di tgl 13 januari 2026, tapi tercencel krna gak dpt driver,saya complain lwt wa di suruh nunggu 14 hari kerja,tapi sampai tgl 6 febuari 2026 blm juga di refund dana nya
Di chat juga respon nya lama,di DM IG juga lama respon nya Lainnya",1 bintang
Fendi Nesya,Saya beli kopi kenangan mantan ukuran L tapi dibuatnya ukuran reguler dan sebelumnya saya udah bilang kalo ukuran L dan masnya konfirmasi ulang nanya ukuran ke saya dan saya bayar qr ukuran L tapi dibuatnta ukuran reguler nyesel banget Lainnya,1 bintang
Hilda alviana,"Tempatnya homey banget buat kerja
Tempat ini lebih eksklusif daripada cabang kopi kenangan yang lainnya lebih nyaman juga tmpt nya Lainnya",5 bintang
Intan amelia,"tukang parkir yg udah tua+gemuk suka getok biaya parkir. gabantu markirin sama sekali, nongol pas ada motor mau keluar doang, motor keluar/masuk kesusahan juga cuma diliatin doang tapi dikasih duit parkir 2rb marah-marah (minta 3rb), bilang … Lainnya",5 bintang
Evana Zahra Zheta,"Kalau lagi di daerah Pecenongan, wajib mampir ke Kopi Kenangan. Kopinya enak, tempatnya asik buat nongkrong atau sekadar me time🤏🏻 … Lainnya",5 bintang
rika Astuti,Tempatnya bersih rapih nyaman enak buat Nongki cantik 😍🩷 …,5 bintang
Andrew daniel,"Banyak Dramanya Di sini,padahal awalnya So far so GOOD KE SINI2nya Barista Barunya Banyak tingkah,pelayanannya makin ke sini makin Ke sana...,apalagi Barisata Cewenya... … Lainnya",1 bintang
emelda efendi,"Nyaman tempatnya 24 jam lagi
Makanan: 5…
Lainnya",5 bintang
Shilman Maijovsa,"Tempatnya nyaman, adem dan lumayan bersih
Saran untuk takaran bahan2 nya tetap ditakar sesuai standar, jangan dikira2, walaupun barista nya udah pada profesional.. biar rasa minumannya ga berubah2 dan tetap konsisten🫰🏻 … Lainnya",4 bintang
Novella Dyuliyati,"Barista nyaa ramahh, buat rasa kopi nya enak bgttt
Jenis pesanan
Makan d…
Lainnya",5 bintang
Fendi,Nyesel banget beli kopi kenangan mantan udah bilang ukuran L(Large) ke masnya terus masnya nanya lagi udah dikonfirmasi 2kali masi aja salah dibuatnya ukuran reguler sedangkan pembayaran untuk ukuran L Lainnya,1 bintang
Oreshnik Hazel,"seperti biasa opinya ena,rasa sama seperti outlet lain..susana asi.aryawan ramah dan pelyanan cepat
Makanan:…
Lainnya",5 bintang
Mr. Wen,Pesanan sudah jadi tapi dibiarin aja. Ga dipanggil. Harus customer yang tanya uda jadi apa belum. Kurang service nya Lainnya,4 bintang
fachrul nasrullah,"Panas Banget coooyyy, ACnya ga terasa sama sekali udah 16° C padahal. Kopinya ya sama semualah untuk Kopi kenangan Lainnya",3 bintang
Raga,"Pengalaman terbaik bisa menjadi customer Kopi Kenangan Ruko Pacenongan, social space yang nyaman dan cocok untuk nongkrong, WFC atau sekedar mencari suasana disaat butuh mood dalam menjalani hari. Tokonya bersih dan dimaintain dengan baik … Lainnya",5 bintang
Dian Natalia,"Outlet KopKen terdekat dari t4 tinggal jadi suka nugas di sini. Barista ramah2 , spacious outlet . cuma kadang pengunjung lain kurang tau diri .. Ngomong keras2 macam di hutan . Mungkin ada baiknya di kasih stiker "" JAGALAH KENYAMANAN BERSAMA "" ... Satu lagi toiletnya lumayan kotor sehingga perlu diperhatikan Lainnya",4 bintang
Mada Ellyana,"Barista yg pakai kacamata agak melambai tolong lebih di tata, saya pernah pesan tambah kantong plastik tapi gak bisa,dia bilang harus lewat aplikasi klo mau tambah plastik padahal ditempat lain bisa. … Lainnya",2 bintang
bagas karang kesuma wijaya,"Pelayanan nya cepat, baristanya ramah2 ganteng and cantikkk
Makanan: 5…
Lainnya",5 bintang
tandi susanto,Tempat kotor dan pelayanan wifi pun gak ada.. ga worth it bgt,1 bintang
Zaelani oke,"Tempatnya nyaman, ramai, pelayanannya juga ramah. Tempat bersih
Jenis pesanan…
Lainnya",5 bintang
genni Genni,Tolong dong tukang parkirnya masa cmn mau ambil pesenan ga sampe 10 detik atau misal gojek doang kena parkir😭 … Lainnya,4 bintang
Prima Reza,"Klo pas para pegawai kopken meeting dan abis meeting, berisiknya luar biasa, bicara teriak2x kayak yg punya rumah sendiri, kayak gak ada orang lain,  padahal banyak customer disitu. Lainnya",2 bintang
frendy konk,Kalo mau nongki jam pagi klo sore rame banget dijamin ga bs duduk.krn banyak sales mobil nongki jg hehehe Lainnya,5 bintang
tjoa evan dwi cahiya,"Tempat bersih terpisah smoking dan non smoking ada toilet
Makanan: 5…
Lainnya",5 bintang
Edbert Linggajati,"LUAR BIASA DAN SANGAT MENARIK ,
SAYA AKAN DATANG KEMBALI KESINI
Makanan: 5…
Lainnya",5 bintang
anna juneaty,"Kak ada barang ketinggalan ga disitu kantong plastik item?
Jenis pesanan…
Lainnya",5 bintang
Ashiila H,"Tempat dan ambience nya oke, cocok buat nongkrong ngobrol sama temen-temen. Toilet nya juga cukup bersih. A good Kopi Kenangan Lainnya",5 bintang
