Nama Pengulas,Ulasan,Rating
byruangTia,"Sehabis di renov jadi lebih enak tempat duduknya. Tersedia 3 lantai, semi outdoor untuk smooking di lantai 2, dan lantai 3 full indoor non smooking. Wifi stabil, ac dingin. Toilet tersedia di lantai 1 dan 2, toilet lantai 2 gaterlalu bersih … Lainnya",5 bintang
nur aisyah,"Udh dibilang jgn dominan susunya tp tetep aja di bikin kebanyakan susu percuma gue extra shot, beberapa kali beli disini gatau pegawainya denger apa engga pesanan customer 🤬😡 … Lainnya",1 bintang
rita desianti (bunces),"tempatnya nyaman, bersih, ada sampai lantai 3, luas. enak buat nongki2 lama, suka kesini kalo habis olahraga di puribeta. Lainnya",5 bintang
Helena N,"Pelayanan baik, rasa kopi sesuai standar kopi kenangan, tapi meja dine in cukup terbatas. Parkir gratis. Dekat dengan halte puri beta 1. AC adem. Lainnya",5 bintang
Vicki Nasution,"Setiap pagi saya selalu ngopi di Kopken Puri Beta—tanpa pernah absen. Tempat ini sudah menjadi ritual wajib sebelum memulai aktivitas. Pelayanannya sangat memuaskan, terutama dari Jelita dan Lina yang selalu memberikan service terbaik. Sangat recommended. Lainnya",5 bintang
Ajeng Kusuma,demi apa kakaknya bilang aku cantik aaaaaaaaaaa kakaknya juga cantik bgt. ramah ramah bgt kan jadi maw beli lagi hehe. tolong naikin gaji kakak cantik yg pake kerudung Lainnya,5 bintang
Nur Alifahnizz,"Kopi kenangan masa pilih kasih gaji untuk trening ada yg 2.3
Ada yg 2.5
Adapun yg 4jt … Lainnya",1 bintang
kentang mcd,"karyawan nya ga becus, orderan masuk udah 10 menit, saya sampe store dikirain udah jadi, eh karyawannya malah main hp + ngobrol trus baru dibuat, apa coba Lainnya",1 bintang
Probo Warsito,"Untuk rasa dari kopi nya cukup enak, pelayanan nya ramah, tempat nya nyaman untuk bersantai baik untuk sendiri maupun beramai-ramai. Harga dari kopi nya juga cukup terjangkau. Lokasi nya ada di dekat halte Transjakarta Puri Beta 1. Tempat … Lainnya",5 bintang
Tarisa Azzahra,"Untuk rasa kopi nya sama seperti outlet lain.
Kursi cukup bnyk namun yg no smoking hanya beberapa, sisa nya smoking area di atas dan memang kurang nyaman bagi yg tdk sukak asep rokok. … Lainnya",5 bintang
Reza,"Pelayannya yg jilbab gak ramah. Gw dibentak barusan, “Sebentar” terus ngeloyor lg.
Layanan: 1",1 bintang
U Nazha,"Mas nya ramah² dan baik² bgt, pernah pesen banyak lewat on-line dan pilih ambil di tempat, ternyata lupa bawa dompet tuk beli tas jinjingnya (gak disediain plastik, harus berbayar) terus dibantuin bawain sampe parkiran dong, makasii masnya. … Lainnya",5 bintang
Rara,"deket banget sama rumah. sering beli dan kumpulin point di aplikasi, lumayan bisa tuker satu minuman kalo pointnya udah banyak🤩 … Lainnya",5 bintang
tartarzz 12,"suka bgt ngopi disini sehabis jogging, baristanya jg asik asik bgt
Makanan: 5…
Lainnya",5 bintang
Erna Yulia,"Tempatnya bersih, ada beberapa meja dan kursi jg untuk menunggu atau sekedar ngopi cantik
Jenis pesan…
Lainnya",5 bintang
laxmi untari,"Pesen hot choco delivery ojol, datangnya choco no ice, mentang mentang di opsi milih no ice. Ua mana ada hot choco ada ice nya. Coba dibenerin ini sdm nya gimana . Kenangannya beli kan jadi jelek.. thank you.",3 bintang
Adhe Rizki Atthahirah,"Karyawan nya ramah,harga aman di kantong, pembuatan cepat. Cuma tukang parkirnya agak nyebelin
Jenis …
Lainnya",5 bintang
Mega Tala Harimukthi,"Rasa racikan kopinya dibanding outlet kopi kenangan lain, di sini light banget, cenderung gak jelas rasanya. Tergantung baristanya banget. Cuma yang perlu diperhatikan sealed gelas kopinya ya. Saya beli online 4, yg 3 sealednya gak rapet semua. Alhasil tumpah-tumpah di kantongnya. Semoga jadi perhatian ya kak. Lainnya",2 bintang
Test Email,"- tempatnya sepi
- pelayanan ramah dan cepat
- parkir motor bayar 2000
Jenis pesanan…
Lainnya",4 bintang
Riska Pratiwi,"Karyawan nya yg cowok kurang sopan santun dan ga ada attitude nya
Tolong pihak dari manajemen tolong kasih tutor dong Ama ini satu karyawan nya biar ada 3S nya Lainnya",1 bintang
Hadi Hadi,"Tidak bisa menggunakan debit/credif card, dan dsekitar lokasi tidak ada atm.
Harusnya kopi kenangan sudah paham sekarang jaman cashless.",3 bintang
Agus Susilo,"Lama banget,,, untuk ojol coba orderan masuk langsung di siapin,, ini mah kagak masih nunggu lama pakek bangetttt,, padahal udah sampai tempat lama ini masih nunggu jgkkkk😢😢😢😢😢😢 …",1 bintang
Rud,"Tempatnya lumayan buat ngadem , kopinya asik , harganya pas
Jenis pesanan…
Lainnya",5 bintang
king,"Saya beli kopi yang botol 1L, tapi malah dilewati beberapa orang malah sampe beli banyak, pas saya tanya katanya yang gelas di layani duluan. Apakah emang begitu ya prosedurnya? Apa harus saya beli dulu 5 gelas kopi daripada 1 botol? Lainnya",1 bintang
Abdul Rahman,"Nyobain menu roti bakar di Kopi kenangan puribeta, tidak sesuai ekspektasi. Selai nya sangat sedikit, dengan harga 15rb - 20rb sangat tidak worth it. … Lainnya",4 bintang
Na Khasanah Pase Al Baksis,"Tempatnya enak banget, ada di ruko-ruko puribeta 1, tempat parkirnya besar, tempat nongkrong dan ngopinya juga besar di lantai 2, ada area smoking dan ada non smoking, kalau dari lantai 2 bisa liat pemandangan Kota Larangan Indah dan … Lainnya",5 bintang
Rief AMD,"Lumayan untuk santai di tempat
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang
ADELIA FITRI,"Kalo untuk rasa jujur ini beda bgt sama yg dioutlet lain, kopi disini racikannya kurang menurut aku :( udah gitu karyawannya jutek"" beda bgt sama yg di outlet CBD Ciledug kalo untuk rasa sama layanan. Tolong dievaluasi biar customer lebih nyaman lagi. Makasih Lainnya",3 bintang
TheDorifto,"Rasa kopi kenangan mantan nya tambah lama tambah ga karuan. Beda barista udah beda² rasanya. Padahal saya langganan beli disini. Terakhir beli, rasanya cuma kaya susu ma gula aren ga ada rasa kopinya. Tolong manajemen kopken take action donk. Di maintain kualitas rasa nya.",2 bintang
Siska Hidayatul H,Jaman dlu beli avocado coffe enak baanget masih ada rasa alpukatnya tapi sekarang udah gk enak kaya rasa minum pop ice melon.. sy beli 2 biji terus beli 3 biji take away gk dapet tasnya padahal saya udah bilang gpp pake aja cuma malah gk … Lainnya,1 bintang
Masyar Arief,"tempatnya enak buat nugas soalnya free wifi hehe, bikin kopinya juga satset. pelayanannya gak seburuk itu kok 😁👍 … Lainnya",4 bintang
Erri Ashari,"Manteeep joooosss, cm sempit tempatnya
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Rizky Iriyanto,"Di sini enak nyantai sehabis lari
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
