Nama Pengulas,Ulasan,Rating
Fitria Choirunnisah,"Salah satu spot nongkrong atau WFC yang nyaman di daerah puri cipondoh,

Lokasi nya strategis, mempunyai dine in di Lantai 1 dan 2 yang cukup nyaman, … Lainnya",5 bintang
Tamam abdul syahid ad-diwani,"Pelayanan nya baik dan cepat 👍🏼
Staf nya mba devi ramah dan mas nya baik
Rekomen banget nongkrong di kopken puri … Lainnya",5 bintang
Ayu Lintang13,"Tempat nongkrong yang enak buat wfc, untuk kopi nya best rasa nya mantapp selain kopi ada cemilan nya , barista nya ramah"" Semua Lainnya",5 bintang
Reka fristy Rexsania,"Udeh sering kesini tapi kaliini jalan nuat parkirnya di halangin mobil terus gue bilang ke mas"" kopkennya eh malah diabaikan makanya ngasih bintang 1
Pernah pesen juga malah salah, pokoknya udah beberapa kali kesalahan tapi … Lainnya",1 bintang
Allin 123,"Nyaman banget disini betah buat ngerjain tugas disini overall makanan nya enak"" Semua, barista nya ramah"" Semua cocok bngt tempat nya Lainnya",5 bintang
marwan Abdilah,"Barista nya ramah, rasa minumannya juga enak pas dan tempat nya nyaman banget, kalo udah kesini pasti betah dah Lainnya",5 bintang
Miky Talim,"barista wanita nya gasopan..
sy pesen kopi kenangan dr apps kopi kenangan 2 large yang normal sugar ,tapi rasanya seperti less sugar saat saya minta tambahan katanya gabisa dan harus add … Lainnya",1 bintang
Marta Dilia,Kita pesen dutch choco kenangan frappe yg enak banget. Karena aku pesan less sugar jadi gak terlalu manis jadi banyak es dan coklat gak berasa bangettt. Jadi kalau kalian pesen normal aja sugar nya. … Lainnya,5 bintang
anggurkolesom,"Langganan beli disini cuma yg bikin gondok emosi parkiran motor mau masuk keluar jadi susah gara2 ada mobil menghalangi walaupun sama2 pelanggan emosi rasanya jadi susah akses nya mending lo atur parkiran supaya motor keluar masuk gampang!
Mobil lo suruh maju di ruko sebelah buat parkir ngarti kaga elo kasih pembatas jalan!!",2 bintang
Ferifarhan,"Salah satu Kopi Kenangan paling nyaman buat WFC atau sekedar nongkrong. Lokasi di jalanan yang ga terlalu ramai, namun parkir agak terbatas. … Lainnya",5 bintang
Fredd Drogo,Americano-nya enak. Apalagi disini ada pegawai namanya Tamam Abdul Syahid 🥰🥰 yang ganteng 😘😘 manis 💞💞 dan tampan💗💗💗. Omaigoottt kakak Sayhidd 💕💕💕💓💓💓💓💐💐💐😍😍😍😍 Americano tanpa gula ku terasa jadi manis kalo ada kak Syahid ☺☺☺☺ … Lainnya,5 bintang
Abdul Syahid,"Tempatnya nyaman & baristanya juga ramah ramah, jadi betah main disini
Makanan: 5…
Lainnya",5 bintang
Natasya Maudi,"mau sedikit kasih saran untuk outlet yang RUKO PURI UTAMA CIPONDOH jam operasionalnya untuk di perpanjang ,retail coffee shop tutup di jam 21:00 kayanya kurang proper padahal jam tersebut lagi rame”nya ( karena saya recustomer disana) tapi … Lainnya",1 bintang
devisafira Hismawati,"Barista nya cakep cakep dan ramah ❤️ service excellent
Jenis pesanan
Mak…
Lainnya",5 bintang
danil saputra,"Makanan dan minuman nyaa enakkk semuaa, tempat nyaaa nyaman AC nyaa dingin mantappp karyawan nyaa ramah"" bestt dahhh pokonyaaa Lainnya",5 bintang
anggie eptr,"so far kopken emngg the bestt, pelayanannnya ramah tempatnya juga bersihh, recommend banget buat yanggg mau wfc atauu nugas 😗💖 … Lainnya",5 bintang
Tosa Rais Ismail,"mantap bgt s , kopi buatan mas adam debest , makasih mas adam, bakalan sering sering mampir kesini deh, asik bgt di ajak ngobrolnya. Lainnya",5 bintang
Sann Ersaputra,"Recomend banget tempatnya adem, sangat enak dan penyajiannya serta karyawannya sangat ramah
Jenis pes…
Lainnya",5 bintang
Wanti Suswanty,"Karyawan wanita nya pada cantik cantik, ramah, sopan, minumannya enak semua daripada kopi kenangan lain Lainnya",5 bintang
Shifaaa,"Tempatnya nyaman dan pelayanan kak Devi juga cepat serta rapih🫶 …
Makanan: 5…
Lainnya",5 bintang
febrey marina,Nunggu 20 menit ga dilayani mbaknya. tau sih lagi sibuk nyiapin orderan tapi anehnya pas gw keluar pintu masuk yg di blkg gue lgsg dilayani. Seenggaknya layani dulu lah 20 menit nunggu berdiri dikira yg sibuk dia aja kali? Lainnya,1 bintang
Mohammad Syaifullah Yusuf,"Minuman nyaa enakkkkkkk baristanya cantik bgttt yg namanya mutiaa🫰😘😘😘 …
Jenis pesanan…
Lainnya",5 bintang
Rafly Triansyah Praseptyo,"overall ok, tp tong sampah nya kurang gede
Makanan: 4…
Lainnya",3 bintang
Salcha Murni Azizah,"Baristanya cantik"" 🫰😚 dan ramah""🤗 minuman nya juga enak semuaa 😋 …
Jenis pesanan…
Lainnya",5 bintang
Melvin K,"Cukup kecewa dengan pelayanannya..

Kronologi : saya beli ""creamy aren latte pake juwara beans"" tapi dikasihnya … Lainnya",2 bintang
Nurmala Diah sagita,"ada salah satu pegawai yg jutek banget, santai aja kali kak. saya datang untuk beli kok bukan minta
Makanan:…
Lainnya",2 bintang
CV. RAYA CIPTA JAYA,"Tanggal 21 maret 2025 jam 21.00an Saya antri cukup lama karena pelayanya cuma 1, tidak apa2 saya maklum sedang ramai juga … Lainnya",1 bintang
Iyan Ibni,"makanannyaa enakkkk
layananyaa baikk
suasana nyaa nyaman
👍🏽👍🏽👍🏽🤍 …
Makanan: 5…
Lainnya",5 bintang
Mochamad Ridwan,"KARYAWAN TOLONG DI PECAT AJA GAGUNA GA ADA RAMAH SAMA SEKALI PADAHAL SAYA BELI BAYAR , PELAYANAN GA BANGET , JUTEK , MINUMAN UDH JADI BUKANYA DIPANGIL MALAH DIEM AJAAA SAMPE ES BATUNYA CAIR PADAHALL SAYA LAGI NUNGGUIN DIDEPAN BIJI MATANYA!!!!",1 bintang
Amelia Anggraeni,"Kopi nya enak pas dan pelayanannya ramah
Makanan: 5…
Lainnya",5 bintang
Rizky Samuel Purba (Samuel),"Tempatnya nyaman, kopinya siapa yang gak kenal, ini mah workspace bisa nih ga sekedar coffee shop
Jen…
Lainnya",5 bintang
BubbleGum,"Tempatnya adem nyaman.. mbaknya humble
Makanan: 5…
Lainnya",5 bintang
Hidayat Turahim,"Barisan cantik dan ramah yg bernama mutia......
Makanan: 5…
Lainnya",5 bintang
Muhammad Aldi,"mba rifanda baik bgt, cantik🥰😍 …
Makanan: 5…
Lainnya",5 bintang
Adam Khoirul,"terbaik🫶 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Arya Rasya,"pelayanan bagus banget😁 …
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang
Helmy Razani,Chill tempatnya,5 bintang
Najwa Afifah Amalia,"pelayanannya cepat, barista ramah, tempat bersih dan nyaman, cocok untuk wfc, nugas, cocok chit-chat bersama temann! 🤩 … Lainnya",5 bintang
M Faathir habibi,"Omaygotttt pelayan nama Abdul Syahid guantenkkk banget
Makanan: 5…
Lainnya",5 bintang
Muthia Hafizhah ningtyas,"seruu
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
cecilia rahmawati,"Bagus
Makanan: 5
Layanan: 5…
Lainnya",5 bintang
Shafa bilqys Wantoro,bagus,5 bintang
