Nama Pengulas,Ulasan,Rating
Michael Chandra,"Cabang kopi kenangan daerah ruko sabang jakpus yang cukup oke terutama yang suka Work from Cafe (WFC). Wifi dan colokan tersedia, meja cukup oke, ada 2 lantai juga. Minuman dan makanan juga standar kopi kenangan, pelayanannya juga ramah … Lainnya",5 bintang
Kukuh KuRa,"Instruksi pesanannya harus kita cek ulang karena salah input & instruksi pergantian/penambahannya juga kurang dipahami oleh crew nya..
Jadi sampe beberapa kali salah tanggap oleh crew nya...
parkirannya terbatas Lainnya",2 bintang
Hendy Zhang,"Cozy tempat buat nongki"" ada lantai 2 nya.. di jalan haji agus Salim sabang ya gaesss.. kalau malem banyak jual makanan habis makan ngopi di sini mantab sih...",5 bintang
Achik Ezam,The coffee are better & cheaper compare with Malaysian branch 😎😎😎. Kedainya bersih & staffnya mesra & pantas! … Lainnya,5 bintang
Tirta KS,"Tempatnya asyik 2 lt, ada outdoor teras luar, indoor dan lt2 view ke jalanan sabang. Favorit kopi less sugarnya kenangan mantan dan caramel machiato Lainnya",5 bintang
novalind johan,"Barista nya baik, ramah dan sangat membantu. Pertahankan yaaa...
Makanan: 5…
Lainnya",5 bintang
Ika Surya widia,"Makasihh buat mas dan mba yg buatin kopi aku ditanggal 14 januari 2026, manggil aku dengan ceriaa ""pacar jeno"" meningkatkan mood bangettt🥺🤍 … Lainnya",5 bintang
Lili Yani,Ngga lagi deh beli di kopi kenangan Sabang karyawannya attitude nya kurang sy beli loh bukan minta apa karna sy ojol di bedakan SM customer yg lain cara dia memberi minumannya dilempar jg waktu temannya bilang baca notenya kayak ngga terima … Lainnya,1 bintang
Muhammad Rehan,"Semoga dibaca sama pak AM ya,ini saya beli hot milo dinosaurus tp hambar gaada rasa milo,terus masa milo nya cuma 3 SENDOK LONG BAR SPOON ya saya gatau lah ya recipe sekarang gimana,tp masa sedikit itu wkwkwk
Mana ngasih airnya ngasal Lainnya",2 bintang
Mohamad Ericson Al Akbar Y.,"Mantap, tapi tolong perhatikan pernah ada orang ngerokok di ruang indoor atas diem-diem 30 Januari 2026. Waktu itu saya mau tegur orangnya udah cabut. Masalahnya kalo fire alarmnya nyala,
rusak berjamaah tuh laptop customer yang wfc. Lainnya",5 bintang
Achmad Alwan,"pengalaman sangat buruk saat singgah di kopken cabang sini, baristanya sangat tidak profesional, saya di tolak saat mau beli kopi lewat apps kopken dengan alasan udh mau closingan jam 00:00 katanya setelah jam segitu baru bisa pesan lewat … Lainnya",1 bintang
lenny,18 Nov 2025 saya ada meeting dengan Client saya di kopi kenangan didaerah Sabang. Kebetulan musim hujan jadi bawa payung. Sekitar Jam 13.00 14.30 an Payung ditarok di Luar Pintu masuk Kopi Kenangan. Kebetulan saat itu ada 2 payung yang … Lainnya,4 bintang
Rey Martin,Sangat2 kecewa mencoba pakai Qpon  pembayaran sdh berhasil tapi pas ke outlet ny mlh mba2nya blng lgi eror Qpon gk bisa untung nominal my 15.000 coba 100 an pasti ngamuk mntk solusi dari kasir ny mlh jawab gk tau gmn sih pelayannya klo emng … Lainnya,2 bintang
Ade Permata Sonia,"saya beli oatside matcha latte, di sabang jakpus TANPA GULA, tapi minumam saya tetap diberi gula padahal di stiker juga kasir suda menulis tanpa gul, saat saya chat cs untuk komplain jawaban sangat template, saya dimintai foto bukti, … Lainnya",1 bintang
Agung Sudarma,"Tempat nongkrong yang enak buat di sabang.. Di temenin kopken lebih lengkap rasanya...
Ada ruangan bebas asap rokok.. Dan colokannya ada juga.. Lainnya",5 bintang
Khaliza Azzahra,"kkmnya enakk bgtt bakal jd minuman fav, tempatnya pw jugaa, dan kk baristanyaa ramah"", friendly dan baik"" sukakk😍 … Lainnya",5 bintang
Teguh Siswaji,Buka 24 jam. Tempat selalu ramai.  tempat duduk di lantai 2. Smoking area di luar di teras lantai 2. Di lantai 2 bisa sambil buka laptop berlama lama. Lainnya,5 bintang
Lg Lg,"Amazing di kopken sabang❤️ karyawannya jg ramah2 & cepat tanggap satsetsatset❤️❤️ terutama fadly, azirah, agus&iqbal. Sehat2 semua & sukses selalu kopken sabang. Semangat jayajayajaya❤️❤️❤️ Lainnya",5 bintang
senno warsonoblz,"Minuman sih Ok
Pelayanan Ok
Tempat dan Suasana jg Ok … Lainnya",3 bintang
Hauzan Majid,"saya suka dengan barista nya yang cakep cakep, ramah, friendly abizzz pokoknya bestt juga kopinya 😘👌 … Lainnya",5 bintang
Merzy Res34,Suasananya nyaman. dingin apalgi barista ganteng ganteng dan cantik cantikk jadi makin suka dengan suasana 🥰🥰 … Lainnya,5 bintang
Mochammad Rifqi Aufa,"Pelayanan nya mantap, makanan dan minuman nya pun enak, tempat enak cocok juga buat wfh
Jenis pesanan…
Lainnya",5 bintang
reza reza,"kenangan milk tea nya enak ga terlalu pait ga terlalu manis, pokonya the best kopken sabang👍 …
Jenis p…
Lainnya",5 bintang
Zezer Rix,"Kopi nya enak fresh, apalgi liat wajah barista nya yang fresh makin klepek klepek 😍😍😘😘 …
Makanan:…
Lainnya",5 bintang
Raphita Iramoty,"Good beverage and good service, dann banyak promoo lagi🫶🏻 …
Jenis pesanan…
Lainnya",5 bintang
Jawii,"Caramel Macchiato the best! 😋💖
Tempatnya juga enak buat nongki cantik^^ …
Makanan: 5…
Lainnya",5 bintang
arjessy zahrotussita,"bessst bangeet pokoknyaaa, baristaanyaa jugaa ramahhh ramaahh syekaaliiiiiii 💕💕💕💕💕 …
Makanan:…
Lainnya",5 bintang
Chika,"Bintangg 5 karnaa pelayannya ramah2, tempatnya baguss jugaa
Makanan: 5…
Lainnya",5 bintang
Lean Gabriel,"recommended banget buat kalian yang car tempat nongkrong yang suasananya asik😋😋😋 …
Makanan: 4…
Lainnya",5 bintang
Kenny,"enak dan kopi nya juga josss dan harganya juga murah
Makanan: 5…
Lainnya",5 bintang
Jappy Adam,"Next jangan loncatin pesanan yaa, masa ngelayanin nya pilih""
Makanan: 4…
Lainnya",1 bintang
Rizal Bagus,"Enak buat nugas sekilas. Kopinya? Layak dicoba
Jenis pesanan
Makan di te…
Lainnya",5 bintang
yasaka,porsi nasi karinya dikit banget. mahal lagi,1 bintang
Rosyid Yuna,"Pelayanannya sangat ramah sekali, best banget pokoknya🥰 …
Makanan: 5…
Lainnya",5 bintang
Shafa Najwa Aqilla,"first time kesini langsung dapet pelayanan yang baik pokoknya mampir lg kesini
Makanan: 5…
Lainnya",5 bintang
Edison Fernandus,"Barista ramah, tempat nyaman, dan pelayanan cepat
Tarif per orang
Rp 25–…
Lainnya",5 bintang
Muhamad iqbal,"tempat nyaman, matcha latte nya enak👍 …
Makanan: 5…
Lainnya",5 bintang
liaa,"enak buat nongkrong, minumannya mantap
Makanan: 4…
Lainnya",5 bintang
Delvia Ananda,"pelayanannya ramah, tempatnya nyaman, bestt🌟😍 …",5 bintang
Elisabet Christanti,"buat barista ganteng namanya padlyy love youuuuu
Makanan: 5…
Lainnya",5 bintang
muhammad fadly,"baristanya ramah ramahh, friendly abiss",5 bintang
Rifki Maulana,"pokoknya bintang 5 tapi ku bukan ancaman
Makanan: 5…
Lainnya",5 bintang
Jilan Radinka Aurelia,"pelayanannya bagus, cepat, rekomendasi 👍 …
Makanan: 5…
Lainnya",5 bintang
R Gaming,"baristanya cucok niccee
Makanan: 5…
Lainnya",5 bintang
rehagel reisa,"Kopi kenangan 24jma di Thamrin
Makanan: 5…
Lainnya",5 bintang
