Nama Pengulas,Ulasan,Rating
Lianna Wijaya,"Tempatnya luas nyaman, ada 2 lantai
Free Wifi
tp mau ke wc harus lewatin bau rokok 😂🙏
Buka 24 jam …
J…
Lainnya",5 bintang
Reni Indriyanti,"Review jujur
tempat nya enak baru buka, pelayan nya ramah, tmpt nya bersih,adem wangi, dkt sm st sawah besar, minim tmpt colokan charge hp blm merata, parkir ga luas, kebetulan lg main di daerah jl lautze , nemu coffe shop kopi favorit kopi kenangan🫶🫰 … Lainnya",5 bintang
Aifa Aini,"Tempatnya enak banget baru buka, luas banyak tempat duduk, nyaman banget buat wfc
Makanan: 5…
Lainnya",5 bintang
Taha OCC,"Salah satu tempat ngopi favorit… Area luas, banyak tempat colokan, ada 2 lantai, ada smoking area terpisah masing-masing di lantai satu dan dua, ada tolitetnya di masing-masing lantai dan yang paling nyaman, ada musholanya. Lainnya",5 bintang
zeerove,"abis dari sini banget buat pick up sama order satu minuman jam 11 malem an gt, pas tambahan order niatnya pengen pake voucher komunitas malah kasirnya ga fokus & akunya jg baru sadar pas pulang vouchernya gadipake + gada potongan pula 😭  tp … Lainnya",4 bintang
Rizal chartinie,"Enak bngt tempatnya nyaman mantep deh, minusnya Wifi-nya suka lemot kalo ke ramean itu aja hehee selebihnya bersih mntep Lainnya",5 bintang
zaeeza 23,"makanannya mantap pool, layanan nya ramah banget, suasana nya tenang, terus juga bisa lngsung nongki pas abis pulang sekolah Lainnya",5 bintang
Anissa Putri,"Tempatnya luas dan bersih, ada outdoor juga, ada pilihan roti dan minuman yang cukup terjangkau, pelayanan baik Lainnya",5 bintang
Kamil Rahman,"BARISTA NYA RAMAH BAIK, GANTENG DAN CANTIK, SAYA SUKA DENGAN PELAYANANNYA, TEMPATNYA BERSIH JADI ENAK BUAT NONGKRONG Lainnya",5 bintang
Ragil Pangestu,"pelayan nya ramah makanan nya enak worth it
Makanan: 5…
Lainnya",5 bintang
yourwasting mytime,"nyaman banget tempatnya. bersih (termasuk kamar mandinya), tidak terlalu dingin, lampunya juga kasih nuansa hangat. Lainnya",5 bintang
Del,"tempat yang nyaman untuk nongki, mengerjakan tugas, dan wfa. Vasilitas yang diberikan sangat nyaman dan pelayanan dari baristanya sangat memuaskan. Lainnya",5 bintang
Ilham Anwar,"Mantap area smoking ada ac dan kipas nya
Area no smoking elegant cocok untuk kaula muda and gen Z
Jen…
Lainnya",5 bintang
Apriansyah Ajie,"Tempatnya asik buat nongkrong, luas dan bersih",5 bintang
Someone Else,"Tempat nya nyaman dan pelayanan nya ramah
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Arby Wiranto,"makanan ya gacor , pulang sekolah bisa nongs
abang ramah
Jenis pesanan
M…
Lainnya",5 bintang
Rikou,"tempat nyaman dan baristanya humble semua
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang
Lim Chin Chen Meyti Haliza,"smookingnya gada sirkulasi udara karena ber AC jg, jd siap2 agak pengep
Jenis pesanan…
Lainnya",5 bintang
