Nama Pengulas,Ulasan,Rating
Mario Jofan,"Great place & atmosphere. Udah gak perlu jauh-jauh lagi ngopi langsung samping kostan wkwk
Jenis pesa…
Lainnya",5 bintang
NINA KORDA,"Suasana hangat bersih luas harga bersahabat, rasa cukup enak utk pertemuan2 atau skedar ngopi ok banget. Bk 24 jam. Stay d hotel sebelahnya enak banget pngn kopi udh tinggal loncat udh sampe. Lainnya",4 bintang
radella shakira,"pelayanan ramah-ramah, tempat ny cocok banget untuk nongkrong Lama, ac nya dingin betah duduk Lama, until WiFi ny membantu banget buat ngerjain tugas. terus tingkatkan pelayanan yang terbaik ya kaka baristas😊😉 … Lainnya",5 bintang
muhammad rafli,"Tempat paling cozy untuk nongkrong, wfc, ngerjain tugas, meeting.
Fasilitas lengkap
-Area vape indor … Lainnya",5 bintang
Siti Nurhaliza Hertiani,"Terus ditingkatkan lagi kebersihan toilet serta musholanyaa yaa, sejauh ini nyaman bangettt + ac nyaa dingin poll Lainnya",5 bintang
Andreas Giri,"Kopken yg baru, selalu mantap. semoga semua kopken upgrade seperti ini.

- Area Indoor Rokok Elektrik … Lainnya",5 bintang
Inggrid inggrid,"Tempatnya gede dan bagus padahal tapi sayangnya jarak antar meja sangat mepet sehingga susah jalan, service juga kurang mba2 kasir cewe gapake krudung jutek, saya ingin menukarkan voucher tiktok namun disuruh ke machine nya padahal saya … Lainnya",2 bintang
aditya saputra,"All staf ramah dan sangat ngebantu, sampai tukang parkirnya juga ngebantu banget👍 …
Makanan: 5…
Lainnya",5 bintang
Iqbal Habib,"Tempatnya cukup nyaman dan luas (ada area indoor dan outdoor). Cabang ini selalu ramai sehingga waktu tunggunya relatif lebih lama. Meski begitu, pelayanan tetap baik dan konsistensi rasa minuman juga enak. Lainnya",5 bintang
Arfah 26,"nyaman dan enak tempatnya untuk wfc, kasir dan baristanya asik..
Makanan: 5…
Lainnya",5 bintang
Arfah Ramdoni,"wifi lancar, kopi nya enak konsisten, ditambah dingin dan musholanya bersih
Makanan: 5…
Lainnya",5 bintang
aldin,"Pengalaman terbaik untuk ngopi di sini, tempat cozy
Jenis pesanan
Makan …
Lainnya",5 bintang
Tri Ahmad Kurniawan,"tempatnya fancy banget , pas buat nongkrong2 gen z
Makanan: 5…
Lainnya",5 bintang
Maria Irene,"Gak recomended, datang minggu pagi..barista dan kasir cuman 1, pelit banget, gak mikir apa bakalan byk dtg customer, mana barista nya bikin kopi kayak org marah, lempar2 segala macam, parah banget..gak lama dtg sih 1 lg kasirnya entah darimana.. Lainnya",1 bintang
Dimas Prayoga,"Ok untuk tempat strategis dan gampang di cari, pelayanan nya it's ok untuk tempat yang baru buka
Makanan:…
Lainnya",5 bintang
