Nama Pengulas,Ulasan,Rating
Mona A. Yuwono,Aduduuuh... Seneng banget sama Kopi Kenangan di sini. Menu dan merchandise-nya lengkap! … Lainnya,5 bintang
Bee Yummy,"Good place.
Tempatnya besar, cocok buat wfc karena banyak colokan+wifi. Pelayanan oke, kamar mandi bersih, ada musholla untuk sholat juga. … Lainnya",5 bintang
Rizki Handayani,"Ini baru dan buka 24jam.. parkiran luas, untuk saat ini belum berbayar parkirnya.. ada outdoor dan indoor yg banyak kapasitasnya.. tersedia musholla dan toilet.. ga bising dan hiruk pikuk buat wfc, paling sesekali terdengar suara kereta aja karena di pinggir rel, tp ga ganggu.. Lainnya",5 bintang
Aisyah Sekar Ayu Maharani,"Deket sama transum, banyak kursi. Bisa buat wfc. Dan 24 jam juga, sukaaa 🫶🏻  semoga kualitasnya ditingkatkan yaahh … Lainnya",5 bintang
TriY,"Tempat enak untuk WFC, ramai tapi masih ada space. Banyak yg kerja saat kesini Kamis saat waktu ashar, yg ruang dalam lebih kecil. Toilet 1 aja untuk pengunjung. Ada musola Lainnya",5 bintang
Halim Fahmana,"Parkir motor lega, gratis, outdoor/ indoor ada stopkontak, livemusic kalo weekend, musola ada, toilet ada bersih, cermin ada, free wifi Lainnya",5 bintang
Tubagus Herry,"Tempat yang nyaman dan aman dan fasilitas charger yang banyak tidak perlu ngantri lagi.keren sih
Tari…
Lainnya",5 bintang
Akbar Berno,"Kesini karena dekat dengan kantor, buka 24 jam jadi buat yang mau ngopi malam-malam ada solusinya hahaha tempatnya luas dan kopinya oke. Lainnya",5 bintang
Fina Oktafianingsih,"Tempatnya sudah bagus dan nyaman, dengan area parkir yang luas untuk mobil dan motor. Tersedia banyak colokan listrik, dan kamar mandinya cukup nyaman. … Lainnya",5 bintang
Gula Gula Manis,"Tempat charge nya bagus, fast charging... Mungkin di tambahin kanopi kali ya, biar tidak terjemur banget... Kalau siang nge-charge udah kaya udang jemur... Tidak ada tempat berteduh untuk nunggu... Lainnya",5 bintang
Krisanto Purnawan,Salah satu kedai kopken 24 jam dan ada di kantor Kompas Gramedia. Enak buat ngobrol2 sebentar tp memang suasana cenderung ramai dan berisik klo pas ketemu anak2 muda. … Lainnya,5 bintang
Ahmad Rifani,"Kopi Kenangan di Urban Hub Palmerah menjadi salah satu spot ngopi yang sangat strategis di kawasan Jakarta Barat, khususnya bagi kamu yang sering melintasi Jalan Tentara Pelajar. Berada persis di pinggir jalan besar di sebelah area kantor … Lainnya",5 bintang
GalaPos ID,"Tempat nya asik buat wfh, setiap mlm kesini karyawannya baik dan ramah terutama mas idlan dan Arya duo maut midnight ketemu mlu setiap hari. Semoga selalu konsisten Lainnya",5 bintang
Rifa Rayhana,"Staff nya setiap saya kesini, dan mau pesen dikasir selalu bilang sebentar tapi dibiarkan berdiri selama 10 menit dan fokus bikin pesenan .padahal ada 2 staff, seengganya kalo masih sibuk bisa bilang “duduk dulu ka soalnya kita masih agak lama” jangan malah bilang sebentar tautau dibiarkan berdiri didepan kasir selama 10 menit Lainnya",4 bintang
Huda Revian,"Bingung ya,istirahat disini bisa berkali² (outlet 24jam)
Jwbnya ""kpn saya istirahatnya?"" (outlet sepi² aja)lowong juga bangku² .mau pesan sampe KY org minta² ... … Lainnya",1 bintang
dahlia wati,Saya baru pertama x beli disini tgl 10 jan 2026 jam 5 sore...maaf matchanya tidak seperti di kopi kenangan yg lain nii...beda sekali rasanya dan menggumpal jg...kenapa yaa bisa begitu?,1 bintang
Adolf Runturambi,"Tempat ngopi dan meeting bisnis yang mumpuni di seputar palmerah... kopinya sudah tidak diragukan lagi, servisnya oke dan tempatnya mudah dijangkau di jl pejompongan kompas gramedia...recommended tempat ngopi... Lainnya",4 bintang
Kay kay,"tempatnya cukup nyaman, tadinya aku duduk diluar dekat tanaman tapi agak bau tokai kucing karna ada beberapa kucing liar, terus akhirnya coba pindah kedalem lumayan lebih nyaman berasa adem juga. namun, setelah selesai dari sana sampai … Lainnya",5 bintang
sean,tempatny pw bgt tapi males bgt harus beresin sampah org mulu🤗🤗🤥🤥 do something for it pls apalagi meja yg kaya persmanan susah bgt lewat. … Lainnya,4 bintang
devyta herawati,"Tgl 22 nov 2025 jam 20.00, pelayanannya buruk bngt, baru pertama kli kesini langsung kecewaa, baristanya judes semua, ngelayaninnya gda senyum&say thankyou, jangan kesini guys, niat nongkrong biar ga stress malah dibikin bt sama baristanya. Lainnya",1 bintang
Risma Aulia,"cuma satu lantai tapi luas bgt.

poin plus lg karena parkirnya gratis dan buka 24 jam!!
Tarif per ora…
Lainnya",5 bintang
fwz rzqllh,"kasir ngelayanin kek org ngjk ribut , hari rabu 12 nov 2025 , jam 23.20 , kalo ga seneng suruh email saya. cari orngnya kasih SP 1 Lainnya",1 bintang
Vinny Anugraha,"Tempatnya luas, tersedia musholla dan buka 24 jam.
Tarif per orang
Rp 1–…
Lainnya",5 bintang
Amir Hafizh,"Shift malam rame tapi cuma 2 orang, 30 menit lebih buat oatside mantan. management benerin lagi schedulingnya Lainnya",1 bintang
kenas sahistya,barista cuma satu kesianan banget antrian jadi lama teman saya yang ini mau jadi baristanya. tolong tambahin mas Lainnya,1 bintang
M M,"Rame banget, apalagi area outdoor. Untuk area indoor tidak begitu banyak, dan kursinya agak dempet jd kurang nyaman. … Lainnya",4 bintang
runner gatsu,"Toilet nyaman dan selalu tersedia tissue, staff ramah banyak colokan dan nyaman untuk WFC
Tarif per o…
Lainnya",5 bintang
Bepo Study,"Utah males gue kesini, semenjak parkir bayar. Suka ada bapak2 pake baju hansip jadi tukang parkir dadakan. Lainnya",1 bintang
Valeda RU,"Beberapa kali work from cafe dari sini sangat nyaman, hanya saja saat malam hari menjelang subuh, barista yang jaga sering memasang musik yang sangat kencang, volume tidak normal, ga jelas apa tujuannya pasang musik sekenceng itu bro, … Lainnya",3 bintang
Binsar lagi,"belum pernah nyobain sih
tapi rame terus
kesini cuma ambil orderan aja
Tarif per orang…
Lainnya",3 bintang
Hilda alviana,"Beli take a way
Tempat nya besar (sprti nya ini kopken tersebar) parkiran luas dan nyaman ✨
Makanan:…
Lainnya",5 bintang
saipul Ntha Z,"Tempatnya lumayan nyaman utk WFC, karena masih pembangunan, jadi outlet sekitar blm siap.. pasti nanti bakalan enak kalau ud rame Lainnya",5 bintang
Rayhan Fadli,"Pelayanan cepat ada nasi kopinya enak cocok untuk nongkrong
Tarif per orang…
Lainnya",5 bintang
Nandakurn,"Sepertinya kekurangan tenaga atau pelayanya. Temen saya barusan ketinggalan tas, tapi responya lama banget karena nungguin para petugasnya untuk buat minuman dulu, padahal kita mengejar waktu, telepon dan wa ke nomer yg ada di google pun … Lainnya",5 bintang
febrian agung,"24jam, Free Parking. Tempat lumayan luas
Tarif per orang
Rp 1–25.000…
Lainnya",5 bintang
Andreas Aldrin,"Pagi enak sepi santai + spanish latte nya oke
Tarif per orang
Rp 25–50 r…
Lainnya",5 bintang
Humaira fauziah,"Suasanya nya ok baik siang maupun malam bisa liat kreta dn angin ny sepoy sepoy suwejuk
Minus ny barista kadang kurang racikan ny dn cuma 1 orng yg jaga Lainnya",5 bintang
Alva Yonara Puramandya,"Tempat yang nyaman untuk chill, parkiran luas termasuk mobil dan gratis tidak ada juru parkir. Salut Lainnya",4 bintang
Raffy Kiho,"Jadi salah satu tempat nongkrong favorite nih,buka 24 jam & juga parkir gratis,area cukup luas",5 bintang
Bela Nmala,"tempat ngopii aesthetic, bisa buat ootd disetiap sudut, udahh free wifi bisa untuk ngecharger hp/laptop, kopinya enak enak dan harga affordable, senyaman itu kopi kenangan🫶🏻 … Lainnya",5 bintang
Dandun9 Dany,"Pelayanan staff nya kurang.. pesan yg pakai aplikasi ambil disana, malah gak bs2.. pas ksana juga staff kurang membantu dan malah kabur2an..hadeehhh Lainnya",3 bintang
Tania Panca putri,"Pelayanan nya kurang ramah, dari awal kami masuk dia uda ketus, terus sempet bilang shut up depan customer. Yang bernama POPPY.
Tanggal = 27 feb 2025 di jam 22:37 Lainnya",1 bintang
muson isroni,"Toilet kurang banyak. Masak cuma ada 2 yg satu khusus karyawan,padahal pengunjungnya banyak
Makanan:…
Lainnya",3 bintang
Fawzan Ahmad,"bedanya yg online ama beli ditempat apaan sih?
kopi 2 biji hampir 1 jam, posisi juga kaga rame, alesan sticker kaga keluar""
BERAK!!!",1 bintang
detty nafsiah,"tolong diperbaiki attitude dalam pekerjaan karna berbicara didpn customer tdk seharusnya ketus dan omongannya kurang sopan, dan tolong banget atas nama mba POPPY tolong rubah sikapnya, kalo memang capek ya semua orang juga capek dan tdk seharusnya bersikap ketus dan omongan kurang sopan seperti itu kpd pelanggan🙏 … Lainnya",1 bintang
Edo De Niro,"Sebagai customer langganan, ini outlet besar dengan pelayanan terburuk
Makanan: 1…
Lainnya",1 bintang
Yohana Wulandari,"Meeting disini enak, tempat parkir luas n 24 jam
Makanan: 5…
Lainnya",5 bintang
Haris Sofyan,"Tempatnya bagus, viewnya sya suka KERETA .
Luas lahan parkirnya, tepat bersih. Cocok uga untuk  nongki²...",5 bintang
Andi Maulana,"Tempatnya sugab, ada mushola nya ❤️smoking areanya luas banyak colokan. Parkiran gratis 🫠 …
Makanan:…
Lainnya",5 bintang
