nama_pengulas,ulasan,rating,nama_gerai
Immia,"Sekarang udah jadi Kenangan boulangerie, semakin keren tempatnya dan lebih banyak pilihan rotinya. Ada mesin untuk self order juga. Ada banyak colokan juga buat yang mau sambil wfc. Kopi nya juga makin banyak pilihan walau kopi kenangan mantan masih jadi favorit 😄 … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Anton Kristanto,"Outlet kopi kenangan versi premium... The best banget pelayanan dan suasananya. Sangat mewah
Jenis pe…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Delverland,kalo makan siang sering beli kopken walaupun antrian panjang banget tapi pelayanannya tetep gercep salut banget👍kopinya juga enakkk banget😋🫰 … Lainnya,5 bintang,Kopi Kenangan - Kota Kasablanka
Christian S,"Semuanya pasti udh pd tau sm KopKen kan..
Utk tempatnya di sini bagus/cozy, mirip kafe sekelas st*rb*cks, enak utk meet-up dgn tmn2, & dgn harga yg lbh affordable. Cm kl hr Minggu, suka rame bgt susah dpt tempat.. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Jade Ayu,Pilihan kopi yg menyenangkan dengan harga standar di tengah2 mall yg memiliki banyak gerai dgn harga lbh mahal. Rasa2nya baru kali ini saya melihat KopKen dengan tempat duduk yg cukup banyak dan interior yg cantik di mall. Atau mgkn sayanya … Lainnya,4 bintang,Kopi Kenangan - Kota Kasablanka
Asri Derulo,"Tolong yang cuma mau ngopi sendiri jangan ambil space sofa yang satu meja bisa ber 4, mubazir aja itu 3 tempat duduk harus kosong bisa lebih dari setengah jam",5 bintang,Kopi Kenangan - Kota Kasablanka
N.S Devyana,"Order kopi kenangan di kokas ini LIGHT BANGET rasanya dan WARNA nya pucet banget, saya hampir setiap hari beli di outlet lain kopi kenangan minta sugar 25ml warna nya ga gini dam kopi nya terasa. … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Kenny Fitriyani,Gw penasaran dgn kopi dubai nya cab kokas wkt kemarin gw sdh beli di cab tebet lalu gw belilah di jam 8:40 malam. Gw perhatiin barista buat kopinya. Gw kaget. Saat di aduk kopi yg pny gw. Baristanya aduk pake gagang centong . Sumpah jorok. … Lainnya,1 bintang,Kopi Kenangan - Kota Kasablanka
Chyrio Eleyson Hutajulu,"Selalu bangga dengan brand lokal yang sekeren kopi kenangan
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Laki Bini,"Nah kali ini ada inovasi menu dari @kopikenangan , yang akhirnya keluarin produk makanan @ceritaroti … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Foodlover Gallery,"Pas ke sini rame banget, hampir semua meja full untuk kebagian meja. Kebetulan lagi ada promo beli 2 kenangan milk tea boba free milo dinosaurus, jadi aku pilih aja yg itu. Kenangan milk teanya oke, manisnya oke, aroma tehnya masih kerasa, bobanya juga enak. Milo dinosaurusnya juga enak, milonya bold rasanya.",4 bintang,Kopi Kenangan - Kota Kasablanka
Wonka Wonka,"Tempatnya ckp luas, enakeun buat nongki (sendiri ato sm temen jg okeh) sambil liat lalu lalang rangorang, depannya srg dibuat tempat ""temporarily event"". Menu selain minumannya lbh byk drpd outlet lain yg sdh sy kunjungi, ada bread, cake, jg dessert. Tp mehong2 cyinnt wkwkwk. Kenangan mantan pake grass jelly msh jd favorit.",4 bintang,Kopi Kenangan - Kota Kasablanka
Dwita Stiawati (Uwi),"Gak pernah gagal rasa kopi buatan barista disini bneran enak maygattt sesuai request !
Jadi tempat favorite wfc staffnya jga ramah tempatnya very comfort 🥰🥰🥰 … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
John Doe,Overated. Orderan saya salah. Yang bikin gak peduli. Akhirnya dibuat ulang sama si kasir. Ditanya ukuran large segini? Dijawab iyah... gk ada rasa. Well... ada harga ada barang la yah. 20k buat large. Lainnya,2 bintang,Kopi Kenangan - Kota Kasablanka
Farah Aibatus syamsiah,"Beli disini harga terjangkau,ya dibandingkan dengan resto atau coffee shop yang berada di mall ini tentu sangat kompetitif harganya.Tidak mengurangi kualitas dan pelayanan tentu memuaskan.btw ini dibawa pulang aja karena ga sempat untuk nongkrong di sana. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Yulian NS,"Suka banget sama cita rasa Kopi Kenangan ini. Selain namanya yang pasti bikin baper, harganya yang terjangkau bikin orang rela antre panjang biar bisa menikmati minuman ini. Campuran gula aren dan kopi yang jadi bahan dasar Kopi Kenangan … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Rensus Sitorus,"Akhirnya kopi kenangan open di Kota Kasablanka.
Kopi kenangan berada di food society, bersatu dengan restaurant The Common. Rasanya cukup enak, tidak terlalu manis akan tetapi sedikit pahit. Untuk harganya … Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Prasaw Nayamul,"Kesini hanya beli titipan enyah roti isi daging asap kejunya. Gw suka juga roti isi ini,cukup oke. Kopi kenangan di kokas banyak pilihan pastri,roti,dan snacknya. Jadi bukan kopi aja. Pelayanan oke. Sayangnya disini gak ada smoking areanya. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Maria Pattiasina,"Kopi yang enak dan gak bisa dilupakan seperti kenangan. Pas bener namanya.  Dengan harga yang terjangkau.
Beli kopi kenangan kita bisa dapat diskon 10% untuk croissant di restaurant the common. Karena ada di satu lingkungan.",5 bintang,Kopi Kenangan - Kota Kasablanka
Pertiwi Sapta,"Nyobain promo oatside latte. Encer bangettt rasanya kaya kebanyakan air, padahal es batu masi banyak (belum mencair semua). Kapok jadinya. Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
faizal karimuddin,"Outlet kopi kenangan yang nyaman untuk ngopi cantik bersama sahabat, agak padat sehingga harus sabar untuk memperoleh tempat duduk. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Febriany Faridha,"Kopi seperti biasa enak. Tapi mohon untuk beberapa karyawan terutama yang laki2 di didik lagi, penampilan bagus tapi etika kurang. Contoh saat memberi pesanan ke customer matanya kemana2, bahkan ketika kasih pesanan ke saya ga langsung … Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Citra A.,"Pesen Pandan Aren Thai Tea pas promo kemerdekaan. Rasanya bukan Thai Tea tapi jatohnya lebih mirip milk tea entah karna banjir susu kental manis atau creamer. Dari warnanya bukan orange kayak Thai Tea pada umumnya, ini jadinya orange muda … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Salsabila Pratiwi,Gak punya attitude pelayan yg namanya EZA tolong lah Kopken di didik lagi pelayanan yg di kokas. Saya beli kopi ini di tempat yg bukan di Mall gini gak ada yg gak sopan. Mending gausa kerja si EZA itu Lainnya,2 bintang,Kopi Kenangan - Kota Kasablanka
Dewi Intan,"Akhirnya nyobain juga yg versi Matcha sambil kerja bentar di sofa. Saya pesan yg Matcha espresso, uda minta less sweet tp tetep aja kemanisan untuk saya.. huhu. … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Haikal ajq,"Dapat orderan dari Benhil, sampe resto sekitar 30 menit lebih, sampe resto  aplikasi ga aktif.
Parah",1 bintang,Kopi Kenangan - Kota Kasablanka
Abdul Halim Damar Harsono,tolong yang namanya EZA diajarin adab sama pelanggan ya. sama customer kaya ngajak ribut. saya beli. bukan ngemis. tolong dong jangan karena oknum nama kopi kenangan jadi buruk Lainnya,1 bintang,Kopi Kenangan - Kota Kasablanka
Nabellahaq sufi,"Pas datang, hanya tersisa 1 meja. Saya minta tolong bersihin meja kepada petugasnya, karena kondisinya kotor sekali. Sampahnya malah didorong ke saya bukan diangkat, padahal bawa tray sampah. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
annisa ghina zahira,"Sampai crosscheck berkali-kali ini beneran oatside ga ya, plis banget ini hambar gaada rasa samsek kaya air + kopi susu sachet beda banget sama cab. lain , kecewa :( Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Tomi Pamungkas,"gak ada respect sama pelanggan. pesen takeaway, kopi sudah jadi dan siap tapi malah ditaruh di atas mesin kopi bukannya ditaruh di counter. sementara kita udah nunggu lama banget berdiri dicuekin. Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka
Tika Sam,"kopi dan rotinya, gak usah diraguin lagi, enak.
pelayanannya juga enak.
nowadays, banyak orang nongkrong di kopken sambil kerja remote termasuk gw. … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Gery Geraldo,"Ini mah kopi kesukaan dan jugq langganan saya, pesen yg menu kopi kenangan mantan! Wiw rasanya jd bisa move on dengan mantan hehehe... harganya standard Jakarta kok, saya pesan yg ukuran besar! … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
rifaldi irianto,"Tempat ngopi murah di kokas. Kopi kenngan sellu jadi pilihan pas dikantong buat gue sebagai kaum low badget. Yang menariknya meskipun harga murah namun pelyanan tetap best of the best, dan store kokas ini cukup cozy. Just hope semoga kopi kenangan semakin jaya dan ramai terus. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Yasaaro Halawa,"Area yang luas, nyaman, cocok buat tenangin diri sendiri, hehe...
Pelayanan Cepat dan Ramah pada umumnya. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Katrina Ardiyani,"Outlet kopi kenangan di Kota Kasablanka sangat nyaman karena ada tempat duduk dan di sebelahnya ada pilihan jajanan. Semacam mini food corners.  Letaknya di Food Society bawah, sangat mudah dicari. … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
H H,"Recommended for sure…‼️‼️‼️

Avocado Coffee (Oatside Milk) No Sugar…. … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Sur Yani,"Sy beli americano,normal sugar mnrt sy krg manis sdkt bgt utk racikanya jd sy mnta tambh sdkt gula fyi sy srg req add sugar d bbrpa outlet tdk ada charge ya tp d sini kok ada ya pdhl sy mnta jg nggk banyak kok sangat disayangkan utk pelayananya😝 … Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Meita Ma,"Kopi Kenangan Mantannya masih konsisten sih sejak awal disetiap cabang. Ordernya lewat aplikasi Kopi Kenangan, free upsize. Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Imam Ibrahim,"Saya pesen lewat apps KK, saya salah pilih jadwal pick up, saya WA ke CS gak guna, akhirnya saya minta tolong ke kasir an mba anisha untuk bisa  d ambil jam 3, dan mas tirta served me very well … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
ira Fm,"Ngopi hemat di mall ya tetep kopi kenangan. Harga murah dan kopinya enak.
Tempatny nyaman banyak tersedia tempat duduk dan bersih Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
diah natalia,"Sudah jauh lebih baik taste nya dibanding awal buka beberapa tahun yll, cm sellernya bikin males deh masa order saya gak dipanggil namanya... Emangnya mau dimaling apa pesanan saya... Dasar staff aneh Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Wiratna Arneta,"Rasa kopinya sama seperti kopi kenangan pada umumnya yang suka saya beli, enak. Tapi tadi siang sekitar jam setengah 11 saya beli ice americano di kopken kokas pelayan perempuan yang pakai kerudung bnr2 bad attitude. Pertama saya salah … Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka
Shelvi Tya Nurani,"Rasa lumayan,harga antara rp. 5000 s/d  rp. 42.000, biasanya jam istirahat kantor akan ramai sehingga antrian panjang. Pelayanan ramah",4 bintang,Kopi Kenangan - Kota Kasablanka
Hani Yahya,"Selaluu rame.... tp enaak klo dah duduk dsana jd lupa waktuu😂😂 …
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Ade Yunni Arista Siregar,"Caramel Latte yang normal agak terlalu manis, untuk yang kurang suka manis bisa minta less sugar. Kopi kenangan mantan enak, manisnya pas.",4 bintang,Kopi Kenangan - Kota Kasablanka
Eka Hardytia,"Kopi nya enak tapi terlalu manis, harga nya oke",4 bintang,Kopi Kenangan - Kota Kasablanka
Wahyu Hidayat,"Kopi & Roti nya 👍
Enak buat nongkrong klo weekdays …
Jenis pesanan
Bawa p…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Diecy Franky Gandasuli,"Kopi favorit saya uda 3 thn terakhir,
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Hariyanto KTM,Menikmati minuman pelepas kantuk dan lelah setelah berjalan mengantar keluarga refresing dan berbelanja...,4 bintang,Kopi Kenangan - Kota Kasablanka
Eriandra Budhisurya,"Kopi kenangan, salah satu kopi favorit saya. Dengan harga yg terbilang murah u/ kopi kekinian, rasa yg ditawarkan tidak lah murahan. Setiap hari minggu, tempat ini tidak pernah sepi.",4 bintang,Kopi Kenangan - Kota Kasablanka
Fanny Melinda,"banyak variasi foodnya👍🏻 …
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Lisda Damayanti,"Avocado coffee dan kopi kenangan mantan jadi menu fav nya aku, nongkrong sambil minum kopi kenangan ditemani live music...mantappp Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Inten Pradnya Suamami,"Sy mau beli lewat counter. Tp ga ada karyawan yg gubris atau nyahutin sy ngomong. Padahal sy sudah bilang ""mas mau pesan""
Tp mas2 kasir tetep otak atik monitor dan kembali ke mesin sealing dan masuk2in … Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka
Arfiyah Citra Eka Dewi,"Sebenarnya makanan dan situasi cafenya bagus dan bersih. Namun pelayanannya perluuu ditingkatkan, terutama pramusaji perempuan yang kerja hari Sabtu tanggal 18 Mei 2024 jam 10.00 pagi. Jutek parah, nggak ngajarin sama sekali pakai aplikasi kopi kenangan, ditinggalin begitu aja. Apa ada masalah hidup dianya. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Aldi Salvianto,"Kopinya enak sesuai selera
Tempatnya nyaman dan bersih
Enak buat nongkrong
🌟🌟🌟🌟🌟 …
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Michael Sjukrie,Wah paling rame nih… protokol CHSEnya lengkap….👍👍 …,5 bintang,Kopi Kenangan - Kota Kasablanka
danirizkyr,"seperti biasa, kopken jadi tempat nyaman kalo mau nongkrong atau laptopan
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Sevriandi Cahyana,"Ngopi d ngobrol cocok dengan tempt di dalam mall casa grande
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Willy Tjen,Cuek parah mau redem promo katanya abis padahal di apk ready padahal udaha bayar malah diarahin ke store lain gajelas !!,1 bintang,Kopi Kenangan - Kota Kasablanka
Rayna Afriani,"ramai trus mantap
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
heriyadi setiono,"Lumayan ada tempat duduknya nyaman sambil nunggu kopi
Jenis pesanan
Bawa…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Pungki Yunita Chandrasari,"Kopinya enak, letaknya di the common kokas, tiap kesini selalu antri karena peminatnya banyak. pelayanannya cepat",5 bintang,Kopi Kenangan - Kota Kasablanka
Maria Mahdalena Sibuea,Pilihan kopi dan rotinya enak,5 bintang,Kopi Kenangan - Kota Kasablanka
Nanda Annisyar Rais,"Aku suka banget beli kopi kenangan sama rotinya. Kayaknya padu padannya tuh pas gitu, ngeyangin juga. Tapi, aku kepo aja sih sedikit, apa kopi kenangan bikin roti sendiri apa gimana? Dan kualitas dari bahan-bahannya bisa dilihat di mana ya? Makasih.",3 bintang,Kopi Kenangan - Kota Kasablanka
Mutia Fauziah,Harus cobain yang bobanya teh susu nya worth it dengan harga 20k enach bgt gaboong,5 bintang,Kopi Kenangan - Kota Kasablanka
Farah Ayu Fadhila,"Aku suka beli kopi sama rotinya kopken, enakkk. Tapi penasaran soal bahan bakunya, soalnya baru baca tentang kandang baterai ngeri bangett. Kan biasanya roti pake telor tuh, penasaran telornya masih dari kandang baterai juga gak?",3 bintang,Kopi Kenangan - Kota Kasablanka
Lisa Aryn,"kopi paling cocok ini, cuma kekurangannya kalo weekend antrian pas lagi panjang yg bikin kopi masih bisa sambil bercanda dan ngobrol2 sm staff lain tanpa liat yg nunggu udahhhh banyak banget astaga dan cuma secup kopi aja nunggunya bisa 20 … Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Chaterine Meilani,"Selalu antri, tapi pelayanan oke, rasa kopi enak terutama kopi kenangan mantan yang emang signaturenya. Baperista (barista) nya juga ramah-ramah. Selalu bayar pakai gopay atau ovo jadi selalu dapat cashback. Bisa juga nongkrong-nongkrong karena ada tempat duduk (meski tidak terlalu banyak).",5 bintang,Kopi Kenangan - Kota Kasablanka
Agustina Situmorang,"Coffeeshopnya disini ramaii bngt, apalagi klu hari minggu.
Kurang cocok untuk tempat bersantai apalagi untuk membaca buku, karena berisik.
Tempatnya lumayan luas lah. Masuk dari pintu society food lurus sekitar 50M posisinya sebelah kanan. Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Mirza Purnandi,"Tempat nongkrong setelah makan siang weekend...
Jenis pesanan
Makan di t…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Noctis,"Klo lg sepi enak disini, klo ud rame terima nasib aja cm bs take away
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Rama Safra'i Rachmat,"Kopinya memang meninggalkan kenangan banget. Suka sekali es kopinya. Adem. Tempatnya bagus dengan desain yang sangat menarik. Cocok buat ngumpul sama teman, sendiri juga asik sambil ngerjain tugas kuliah atau kantor. Pelayanannya juga  cepat. Rekomen banget deh kalo lagi cari tempat kumpul dan bersantai.",4 bintang,Kopi Kenangan - Kota Kasablanka
Habibi Hanan,"Stupid...
Kelalaian cashier jadi rugi nunggu lama. Bilangnya gak sampai 20menit. Gara2 dia ilangin struknya, pesanan saya sampai kelewat 10 nomor. Nunggu 35menit. Really not recommended",1 bintang,Kopi Kenangan - Kota Kasablanka
Faradila Sakina,Recommended rasa kopi kenangan mantan.,5 bintang,Kopi Kenangan - Kota Kasablanka
Imam Corvinus,"Usaha bidang jasa, semua sdh harus siap, memberikan pelayanan yg terbaik utk pelanggan. But, No, long queue, slow process, change money not available, non-cash transaction only with minimum IDR30K, insisting paying cash, bear the consequences by paying with the exact amount, ridiculous Lainnya",2 bintang,Kopi Kenangan - Kota Kasablanka
Rica Marcyalina,"Always rame, tp gatau kenapa kalo ke kokas gak afdol klo gak ke kopken.
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
raymont manalu,"Tempat nyaman, kebersihan selalu dijaga di New normal",5 bintang,Kopi Kenangan - Kota Kasablanka
Rano Homan,"Tempat cukup nyaman. Sayang service perlu peningkatan banyak sekali.
Jenis pesanan…
Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
Nabila Yasmin,"Mampir kesini beli es kopi susu mantan di takeaway, sampe sekarang msh suka sih sama rasanya kopi kenangan. Eh gataunya lg dapet timtam juga, 1kopsus 1timtam, mayan buat temen kopinya lol",4 bintang,Kopi Kenangan - Kota Kasablanka
vannesya gabriella,"Setiap minuman yg di order es nya bnyak banget,smpe tawar rasanya",2 bintang,Kopi Kenangan - Kota Kasablanka
Tona Meisya,"Kasirnya gk fokus. Minta kopi kenangan mantan less sugar, dibuatnya malah less kenangan blend. Berasa cuma minum susu dengan perasa kopi. Rugi bandar Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
dtaprdnya,"Mba dan mas pelayan disini ramah, pelayanan nya cepat, tempat nyaman, kalau soal rasa gausah ditanya lagi kopi kenangan 😍 … Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Wahyu Sarumaha,"Tempat ngopi ramah di kantong diantara kopi sekitarnya yang harganya diluar nurul
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Sofa Marwah,"kopi nya sangat creamy
Makanan: 5
Layanan:…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Denny Arifin,"Terletak di Mall KoKas Jakarta Indonesia
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Arina Rakhmawati,Kopinya enak.,5 bintang,Kopi Kenangan - Kota Kasablanka
Sony,"Kursinya banyak, cukup canggih bisa order langsung dari meja dengan scan qr code via aplikasi kopi kenangan Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Rio Quiserto,Unik kopinya. Kreatif produk !,4 bintang,Kopi Kenangan - Kota Kasablanka
Nayah S,"Mending beli kopi kenangan mantan less sugar di tempat lain. Disini rasa kopinya tidak terasa.
Jenis …
Lainnya",3 bintang,Kopi Kenangan - Kota Kasablanka
HIKMAH EFENDY,"Ngopi disini nyaman... Bs kongkow bareng tmn2 & keluarga, skrg kasirnya pindah ke dlm, utk pickup ambilnya didpn kasir yg lama Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Andree Tjenata,"Tempat enak ada banyak Tempat duduk walau wekend selalu penuh
Tarif per orang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
J,Arogan banget kasir sama tim nya😡 …,1 bintang,Kopi Kenangan - Kota Kasablanka
Raffi Prayoga,"Ngopi disini terbaik, Karna dapet banget atmospherenya, tempatnya cozy, baristanya ramah', racikannya pass, pada humble semuanya, sopan dan santun Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Edmund Matly,"Seru sih lokasinya Banyak Tempat duduk , bisa Ngopi sambil Ngobrol, ada rotinya juga Jadi cocok lah ditemanin dng kopi",5 bintang,Kopi Kenangan - Kota Kasablanka
Daffa Arya,"Nyaman, banyak tempat duduknya, tokonya berbarengan dengan toko roti bisa jajan makanan sembari minum kopi",5 bintang,Kopi Kenangan - Kota Kasablanka
Okta Sihombing,"bersih, nyaman, aman
Tarif per orang
Rp 25–50 rb…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
146_Arif_Praditya,"Cocok buat nongkrong di malam hari hihihi
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Tri Ahmad Kurniawan,"tempatnya instagramable banget
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
ida mr,"Tempatnya asyik, minum kopi bareng sama pacar... Yang sekarang udah jadi mantan, dan slalu jadi kenangan yang tak terlupakan",5 bintang,Kopi Kenangan - Kota Kasablanka
Moh Rikza,Nice coffee. Tp antriannya panjang hehe,5 bintang,Kopi Kenangan - Kota Kasablanka
P. Nugroho,"Pelayanan ramah & cepat, meskipun antrean kalau jam siang lumayan panjang. Dan bisa duduk juga di The Common sambil nunggu pesanan.",5 bintang,Kopi Kenangan - Kota Kasablanka
Dazzle,"enak kopinyaaa, tapi kalo kenangan mantan tuh beda cabang, beda barrista, beda rasanya. Kadang 1 cabang, tapi barrista A sama barrista B bikinnya beda, jadi rasanya juga beda.",4 bintang,Kopi Kenangan - Kota Kasablanka
arie 999,"Rasanya ga enak, ga karuan
Ga berasa kopinya
Makanan: 3",3 bintang,Kopi Kenangan - Kota Kasablanka
andita “andita1314” 1314,"Kopi kenangan di mall ini sangat ramai dan menunggu cukup lama, namun untuk pelayanan dan rasa kopinya tetap.",4 bintang,Kopi Kenangan - Kota Kasablanka
jopu tomo,"Sudah antri 10mnt dikasih tau antriannya beda harus di dalam. Kacau
Makanan: 1…
Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Nurul Febriyani,"Mallnya besar, protokol kesehatannya sangat baik, untuk dimasa pandemi ini dia menerapkan one way setiap didlam mallnya,",5 bintang,Kopi Kenangan - Kota Kasablanka
Amalia S,"Selalu enak!
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Rangga Prasdita,Coba itu karyawan dengan tag nam JAY kenangan mantan kota casablanca di didik etika terhadap customer makasih,1 bintang,Kopi Kenangan - Kota Kasablanka
Indra Hermawan,"Pelayanan sangat lama, hanya beli 2 cup harus menunggu 55menit
Jenis pesanan…
Lainnya",1 bintang,Kopi Kenangan - Kota Kasablanka
Isti AL,"Kopinya enakkkk, tempatnya juga cozy
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang,Kopi Kenangan - Kota Kasablanka
Margareta Hutagalung,"Sulit dapat tempat duduk selalu penuhh
Makanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Iqbal Adriansyah,Always ramai dengan antrian yang bikin mundur beli disitu dan pilih pesan via gojek/grab,5 bintang,Kopi Kenangan - Kota Kasablanka
Erwin Siahaan,Kopi enak. Sesuai dgn antriannya,5 bintang,Kopi Kenangan - Kota Kasablanka
rizka syafira,tempatnya cozy buat nongki nongki,5 bintang,Kopi Kenangan - Kota Kasablanka
indra gunawan,"Tempat nongkrong paling enak di kokas
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Ilham Harazky,"Enak buat nongkrong, bisa donlot aplikasinya kopi kenangan buat dapetin promo kopi murah
Jenis pesana…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Eka Hamza,Tukang buat kopinya gak ramah.. Gak liat muka orang yang mesen,1 bintang,Kopi Kenangan - Kota Kasablanka
Nabila Bella,Attitudenya pelayan disini emg pada mines kahh????!!!,1 bintang,Kopi Kenangan - Kota Kasablanka
Azis Halim,"Tempatnya luas..asikk bgt buat senderan, ngadem dan selonjoran hehehehehe
Jenis pesanan…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Gunawan Lugito,Lama banget. Tidak siap melayani order customer. Wasting my time.,1 bintang,Kopi Kenangan - Kota Kasablanka
Tuti Handayani,Mantap kopi brown sugarnya. Lumayan dapat promo bayar pake Ovo,5 bintang,Kopi Kenangan - Kota Kasablanka
ben family,"Mantap lah.
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
Wahyu Cahya,"Kopi yg selalu bikin kenangan, enak rasanya Suka banget sama Kopi kenangan",5 bintang,Kopi Kenangan - Kota Kasablanka
Mulyana Syahri Ramadhan,Lumayan antriannya panjang....terbayarkan..sruput...langsung kering,5 bintang,Kopi Kenangan - Kota Kasablanka
Sabar bahari,"Keren
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,Kopi Kenangan - Kota Kasablanka
